Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
2880,"Silently read the following text: DA VILLAGE SCENE Winter has truly arrived! Clouds from above slide down the mountain slopes, occasionally scattering a light rain on the silver-white thatched roofs. The yellow mustard flowers appear in long strips in the mist on the hillside. The noisy, winding stream has shrunk, revealing smooth and clean pebbles. On the water surface, only the long-legged spiders like busy and happy pincers compete to go upstream. On the tops of the old, ancient trees, the last remaining yellow leaves are rustling before saying goodbye to their simple mother. But the rows of Da village areca trees, despite all the brutal power of winter, still have their leaves hanging gently like swallows' tails. On the ground hardened by the cold, the young leaves are still spreading, pale yellow and the areca trees are still graceful, swaying their bodies, as if they were born to decorate Da village with a more elegant and gentle look. (Ma Van Khang) * Based on the content of the reading, circle the letter before the most correct answer or do as required by the exercise below. Read the following text silently: DA VILLAGE SCENE Winter has truly come! Clouds from above slide down the mountain slopes, occasionally scattering a drizzle on the silver-white thatched roofs. The yellow mustard flowers appear in long strips in the mist on the hillside. The noisy, winding stream has shrunk, revealing smooth and clean pebbles. On the water surface, there are only long-legged spiders like pincers, busy and happy, competing to go upstream. On the tops of the old, ancient trees, the last remaining yellow leaves are rustling before saying goodbye to their simple mother. But the rows of areca trees in Da village, despite all the brutal power of winter, still have their leaves hanging gently like a swallow's tail. On the ground hardened by the cold, the young leaves are still spreading, pale yellow and the areca trees are still graceful, shaking their bodies, as if they were born to decorate Da village with more elegance and gentleness. (Ma Van Khang) * Based on the content of the reading, circle the letter before the most correct answer or do as required in the exercise below. What does the content of the reading say? (0.5 points)",Da village is beautiful and full of life in spring.,"Despite the harsh summer weather, the scenery of Da village is still beautiful.",The scenery of Da village's trees is full of life in autumn.,"Despite the harsh winter weather, the scenery of Da village is still beautiful and full of life.",D,Literature 3,True
2881,What is the number five hundred and five written as?,595,505,525,559,B,Math 2,True
2882,What is the number 728 written as?,700 + 80 + 2,700 + 2,700 + 20 + 8,800 + 70 + 2,C,Math 2,True
2885,What is the number IV pronounced?,Fifteen,Four,One year,Six,B,Math 2,True
2887,"In the number 5 148 627, which digit does 6 belong to?","Tens of thousands, layers of thousands.","Thousands, layers of thousands.","Hundreds, units class.","Millions, layers of millions.",C,Math 2,True
2888,"Ms. Ha has a rectangular piece of land 32 m long, the length of the land is 4 times the width. She divides the land into 4 equal lots. What is the area of each lot?",$80 m^{2}$,$32 m^{2}$,$60 m^{2}$,$64 m^{2}$,D,Math 3,True
2889,"Three friends Nam, Hieu and Quan are 125 cm, 130 cm, 129 cm tall respectively. How tall is each friend on average?",384 cm,125 cm,192 cm,128 cm,D,Math 3,True
2893,Given 37.46 < x < 38.08. What is the natural number x?,38,39,40,41,A,Math 4,True
2894,What is the decimal number of $45\frac{3}{1000}$?,45.3,45.03,"45,003","450,003",C,Math 4,True
2896,"An's family raises 50 ducks, the number of ducks in An's family is 25% of the number of ducks in Binh's family. How many ducks do both families raise?",200,100,50,250,D,Math 4,True
2897,The mixed number $15\frac{6}{7}$ written as a fraction is?,$\frac{21}{7}$,$\frac{97}{7}$,$\frac{111}{7}$,$\frac{105}{7}$,C,Math 4,True
2898,store has 3.5 tons of rice and has sold $\frac{3}{5}$ of that rice. How many tons of rice does the store have left to sell?,2.1 tons,1.4 tons,5.8 tons,0.7 tons,B,Math 4,True
2900,"To pave the floor of a rectangular room, people use square ceramic tiles with sides of 40 cm. How many tiles are needed to cover the floor of that room, knowing that the room is 8 m wide and 12 m long? (The area of the mortar joints is negligible)",1600,96,600,24000,C,Math 5,True
2901,A right triangle has two sides of length 2.5 cm and 3.2 cm respectively. What is the area of the triangle?,$8cm^{2}$,$40cm^{2}$,$4cm^{2}$,$0.4 cm^{2}$,C,Math 5,True
2902,car and a motorbike travel a distance of 135 km together. The time it takes the car to travel the distance is 2.25 hours. The speed of the motorbike is equal to $\frac{2}{3}$ the speed of the car. Calculate the speed of the motorbike?,30 km/h,40 km/h,50 km/h,60 km/h,B,Math 5,True
2903,Which of the following numbers has the same value as 0.500?,0.5,0.05,5,5.0,A,Math 5,True
2905,"A water tank is 1.8 m long, 1.2 m wide and 1.6 m high. The tank is holding an amount of water equal to $\frac{3}{4}$ the height of the tank. Knowing that $1 dm^{3} = 1 liter of water$, how many liters of water does the tank currently hold?",$2592 dm^{3}$,$3456 dm^{3}$,$216 dm^{3}$,$288 dm^{3}$,A,Math 5,True
2906,What is the volume of a cube with side length 4 dm?,$16 dm^{2}$,$64 dm^{2}$,$16 dm^{3}$,$64 dm^{3}$,D,Math 5,True
2908,"person rides a motorbike from B to C at a speed of 44 km/h. At the same time, a person drives a car from A to B then to C chasing the motorbike at a speed of 65 km/h. After 1 hour and 24 minutes, the car catches up with the motorbike. How many kilometers is the distance AB?",152.6 km,29.4 km,21 km,109 km,B,Math 5,True
2909,"A rectangular room is 8 m long, 4.5 m wide and 4 m high. People whitewash the ceiling and 4 surrounding walls inside the house. Knowing the area of the door is $8.9 m^{2}$. Calculate the area that needs to be whitewashed?",$129.1 m^{2}$,$144 m^{2}$,$127.1 m^{2}$,$136 m^{2}$,C,Math 5,True
2910,What is the circumference of a circle with radius 5 cm?,15.7 cm,31.4 cm,25 cm,100 cm,B,Math 5,True
2911,Calculate $\frac{64}{19} - 3$:,$\frac{61}{19}$,$\frac{64}{16}$,$\frac{61}{16}$,$\frac{7}{19}$,D,Math 5,True
2912,Calculate $\frac{34}{15} \times \frac{3}{17}$:,$\frac{2}{5}$,$\frac{37}{32}$,$\frac{31}{2}$,$\frac{17}{12}$,A,Math 5,True
2913,Calculate $2 + \frac{1}{6} - \frac{31}{18}$:,$\frac{1}{9}$,0,$\frac{4}{9}$,$\frac{5}{18}$,C,Math 5,True
2914,Calculate $\frac{12}{8} \div \left(\frac{10}{8} \times 3 \right)$:,$\frac{2}{5}$,$\frac{18}{5}$,$\frac{3}{4}$,$\frac{6}{5}$,A,Math 5,True
2915,Calculate $\frac{7}{12} \times \frac{4}{9} + \frac{4}{9} \times \frac{5}{12} + \frac{2}{9}$:,$\frac{4}{9}$,$\frac{2}{9}$,$\frac{11}{9}$,$\frac{5}{3}$,B,Math 5,True
2916,A basketball team played 20 games and won 12 games. What is the winning percentage of that team?,12%,32%,40%,60%,D,Math 5,True
2919,Calculate $[(33 - 3) \div 3]^{3 + 3}$,1000000,100000,729000000,10000000,A,Math 5,True
2920,Calculate 2^{5} +2 \times \{12 + 2[3 \times (5 - 2) + 1] + 1\} + 1:,83,99,100,98,B,Math 5,True
2924,Factor the number 12 into prime factors?,$3^{2} \times 2$,$2^{2} \times 2$,$2^{2} \times 3$,$3 \times 4$,C,Math 6,True
2925,Find the greatest common divisor of the two numbers 35 and 105:,1,5,7,35,D,Math 6,True
2926,Find the least common multiple of the two numbers 35 and 105:,105,525,735,35,A,Math 6,True
2927,$\frac{2}{3}$ the watermelon weighs $2\frac{1}{2} kg$. How many kg does the watermelon weigh?,$\frac{5}{2}$,$\frac{15}{4}$,$\frac{5}{3}$,$\frac{19}{6}$,B,Math 6,True
2928,"All three taps flow into a dry tank. If taps I and II flow together, the tank will be full in 30 minutes. If taps II and III flow together, the tank will be full in 75 minutes. If taps III and I flow together, the tank will be full in 50 minutes. If all three taps flow together, how long will it take for the tank to be full?",15 minutes,30 minutes,155 minutes,52 minutes,B,Math 6,True
2929,"Find the largest natural number a, knowing that 1050 and 630 are both divisible by a?",630,1050,210,7,C,Math 6,True
2930,"worker gets two consecutive raises, each one 10% higher than the previous one. Compared to before the raise, after the two raises, how much has the worker's salary increased?",31%,19%,20%,21%,D,Math 6,True
2931,Which of the following numbers is not a prime number?,17,97,2335,499,C,Math 6,True
2934,Given square ABCD. The false statement is:,Square ABCD has four equal sides: AB = BC = CD = AD.,Square ABCD has four equal angles at vertices A; B; C; D.,Square ABCD has two equal diagonals: AC = BD.,Square ABCD has two pairs of parallel opposite sides AB and BC; CD and AD.,D,Math 6,True
2935,Find the natural number x knowing: 5x + 3x = 88,11,3,8,9,A,Math 6,True
2936,Which of the following numbers is divisible by 9 but not divisible by 5?,23454,34515,54321,93240,A,Math 6,True
2937,Which of the following numbers is a prime number?,51,71,81,91,B,Math 6,True
2939,Which of the following statements is false?,The rectangle has a center of symmetry at the intersection of the two diagonals.,An equilateral triangle has three axes of symmetry.,An equilateral triangle has a center of symmetry.,A circle has infinitely many axes of symmetry.,C,Math 6,True
2940,"Rounding the number a = 131.2956 to the second decimal place, which of the following decimal numbers do we get?",131.29,131.30,131.31,130,B,Math 6,True
2941,GCD(16; 40; 176) is equal to:,4,16,10,8,D,Math 6,True
2943,If point M is between points A and B then:,MA + MB = AB,MA + AB = MB,MB + BA = MA,AM + MB = AB,D,Math 6,True
2944,What is the result of the calculation $3^{2} \times 3^{4}$?,$3^{5}$,$3^{6}$,$3^{7}$,$3^{8}$,B,Math 6,True
2946,"Find x, y so that $\overline {23xy}$ is divisible by 2, 3, 5 and 9?",x = 3; y = 0,x = 4; y = 0,x = 0; y = 4,x = 8; y = 5.,B,Math 6,True
2947,Find x knowing that $\frac {x}{27} = \frac {-15}{9}$?,–5,–135,45,-45,D,Math 6,True
2948,"During the implementation of the small plan of Secondary School A, the 6th grade of the school collected 1035 kg of waste paper. Of which, class 6A collected 105 kg. What is the percentage of waste paper that class 6A collected compared to the 6th grade of the school (rounded to the first decimal place)?",10.1%,10.2%,10.4%,10%,A,Math 6,True
2949,Calculate $S = \frac {1}{1.4} + \frac {1}{4.7} + \frac {1}{7.10} + ... + \frac {1}{94.97} + \frac {1}{97.100}$?,1/4,99/100,1,33/100,D,Math 6,True
2952,For every real number x. Which of the following statements is false?,$|x| \geq x$,$|x| \geq -x$,$|x|^{2} = x^{2}$,$|x| = x$,D,Math 6,True
2953,Which of the following statements is true?,Two equal angles are opposite angles.,Two angles that are not vertical are not equal.,Two vertical angles are equal.,All three statements above are true.,C,Math 6,True
2956,"Let the quantity y be related to the quantity x by the formula $y = \frac{12}{x}$. Let $x_1, x_2, x_3$ be different values of x; y_1, y_2, y_3 be corresponding values of y. Which of the following statements is correct?",We have: $x_1y_1 = x_2y_2 = x_3y_3 = 12$,Two quantities x and y are directly proportional to each other.,$\frac{y_1}{y_2}=\frac{y_1}{y_2}; \frac{y_1}{y_3}=\frac{y_1}{y_3};\frac{y_2}{y_3}=\frac{y_2}{y_3}$,$\frac{y_1}{x_1}=\frac{y_2}{x_2}= \frac{y_3}{x_3}$,A,Math 7,True
2957,Which of the following quantities is directly proportional?,Average speed of a car and time of travel of a car on a fixed distance.,Number of people and number of days when doing a constant amount of work and the productivity of each person is the same.,Distance traveled and time of movement of an object moving uniformly.,The width and length of a rectangle have constant area.,C,Math 7,True
2958,Given two polynomials f(x) and g(x) which are different from zero polynomials such that the sum f(x) + g(x) is different from zero polynomials. When is the degree of f(x) + g(x) definitely equal to the degree of f(x)?,f(x) and g(x) have the same degree.,f(x) has a greater degree than g(x).,g(x) has a greater degree than f(x).,Never.,B,Math 7,True
2959,Given polynomial $P(x) = x^{2} + 5x − 6$. Then:,"P(x) has only one solution, x = 1",P(x) has no solution.,"P(x) has only one solution, x = −6.",x = 1 and x = −6 are two solutions of P(x).,D,Math 7,True
2960,The division of polynomial $2x^{5} - 3x^{4} + x^{3} - 6x^{2}$ by polynomial $5x^{7-2n}$ ($n \in \mathbb{N}$ and $0 \leq n \leq 3$) is divisible if:,n = 0,n = 1,n = 2,n = 3,D,Math 7,True
2961,The set of rational numbers is denoted by?,N,N*,Q,Z,C,Math 7,True
2963,What is the sum of the three angles of a triangle?,45°,60°,90°,180°,D,Math 7,True
2964,The finite decimal form of the fraction $\frac{33}{55}$ is:,"0,(66)","-0,(6)",$\frac{3}{5}$,0.6,D,Math 7,True
2970,The data series about weight (unit: kilogram) of 7 students in class 7A: 25; 30; 32; 28; 29; 31; 27 belongs to what type of data?,Data is not numbers.,Qualitative data.,Quantitative data.,Kilogram data.,C,Math 7,True
2971,The fraction representing the rational number -3.25 is,$\frac{-13}4$,$\frac{-11}4$,$\frac{13/4}$,$\frac{-26}8$,A,Math 7,True
2972,"Triangle ABC is right-angled at A, then",$\hat{B}+\hat{C}=60^\circ$,$\hat{B}+\hat{C}=90^\circ$,$\hat{B}+\hat{C}=100^\circ$,$\hat{B}+\hat{C}=180^\circ,B,Math 7,True
2974,Given triangle ABC is isosceles at A. Which of the following statements is incorrect?,$\hat{B} = \hat{C}$,$\hat{C}=\frac{180^\circ - \hat{A}}{2}$,$\hat{A} = 180^\circ - 2\hat{C}$,$\hat{A{ = \hat{C}$,D,Math 7,True
2977,Arithmetic square root of $\frac{(-2)^2}{5^2}:,$\frac{4}25$,$\frac{-4}25$,$\frac{2}5$,$\frac{-2}5$,C,Math 7,True
2979,"Given triangle ABC is right-angled at A and AB = AC. Through A draw line d intersecting BC. Draw BM, CN perpendicular to d with M, N $\in$ d. Choose the wrong answer:",AM=CN,BM=AN,$\widehat{ABM} = \widehat{ACN}$,$\widehat{ABM} = \widehat{CAN}$,C,Math 7,True
2981,"Given triangle ABC with AB = 16 cm, AC = 25 cm. The perpendicular bisector of BC intersects AC at D. The perimeter of triangle ABD is",41 cm,48 cm,51 cm,"A, B, C are all wrong",A,Math 7,True
2982,If $\triangle$ABC=$\triangle$DEF and $\hat{B} = 70^\circ; \hat{F}=40^\circ$ then angle $\hat{A}$ is equal to:,$110^\circ$,$70^\circ$,$30^\circ$,$40^\circ$,B,Math 7,True
2983,"With the sequence of equal ratios $\frac{x}{a} = \frac{y}{b} = \frac{z}{c}$, we can write:",x : y : z = a : c : b,: b : c = z : y : x,x : y : z = a : b : c,x : b : z = a : y : c,C,Math 7,True
2984,Given 2x = 3y and y − x = −2. Find x and y?,x = 4; y = 6,x = 6; y = 4,x = −4; y = −6,x = −6; y = −4,B,Math 7,True
2985,Two iron bars have volumes of $26 cm^{3}$ and $13 cm^{3}$. The first bar is 56 g heavier than the second bar. What is the mass of the second bar?,56 g,112 g,168 g,28 g,A,Math 7,True
2986,"Let x and y be two inversely proportional quantities, knowing x = 6; y = −3. Find the proportionality coefficient a.",a = −2,a = −18,a = 2,a = 18,B,Math 7,True
2989,Given y = kx. Which of the following statements is true?,x is proportional to y by proportionality coefficient k,y is proportional to x by proportionality factor k,x is not proportional to y,Cannot conclude anything from x and y,B,Math 7,True
2990,Given two polynomials G(x) = 2x + 7 and H(x) = 3x +6. Calculate G(x) + H(x)?,−x + 1,5x + 13,5x + 1,− 1,B,Math 7,True
2996,"The speed of a motorbike going from A to B is calculated by the expression $v(t) = \frac{120}{t}$, where v is the speed in km/h and t is the time in hours. Calculate the speed of the motorbike knowing that the time it takes the motorbike to go from A to B is 4 hours.",40 km/h,30 km/h,25 km/h,20 km/h,B,Math 7,True
2998,Given ∆ABC = ∆DEF. Knowing that AB = 6 cm; AC = 8 cm; EF = 10 cm. What is the perimeter of ∆DEF?,24 cm,20 cm,18 cm,30 cm,A,Math 7,True
3002,"Given triangle ∆ABC, point M belongs to line segment BC so that BM = 2MC. On the opposite ray of ray CA, take point D so that CD = CA. Let E be the intersection of AM and BD. Then point M is?",Center of gravity of ΔABD.,The centroid of ΔABC.,Orthocenter of ΔABC.,Equidistant from the three vertices of ΔABD.,A,Math 7,True
3003,"Group I of class 7D has 5 female students and 5 male students. Randomly select a student from Group I of class 7D. Consider the event ""The selected student is a female student"". What is the probability of the above event?",0,1,$\frac{1}{2}$,0.8,C,Math 7,True
3005,"A closed box contains 200 balls of the same size and mass, and are marked with the numbers 0; 1; 2; 3; …; 198; 199. A ball is randomly taken out of the box. How many outcomes make event A: “The number written on the ball taken out divided by 3 has a remainder of 2” occur?",0,66,99,200,B,Math 7,True
3007,Given acute triangle ABC with altitudes AM and BN intersecting at I. Let H be the intersection of CI and AB. Choose the correct statement?,$CI \perp AB$,AH = BH,I is the centroid of triangle ABC.,IA = IB = IC,A,Math 7,True
3008,Given triangle ABC with two angle bisectors AD and BE intersecting at G. Then CG is?,Height from A.,Bisector of angle A.,Median line drawn from A.,The perpendicular bisector of side BC.,B,Math 7,True
3009,Given triangle ∆ABC with M and N being the midpoints of AB and BC respectively. From M and N draw 2 perpendicular bisectors intersecting at O. Knowing that the circle with center O and radius OA has a diameter of 8 cm. What is the length of line segment OB?,2 cm,4 cm,8 cm,5 cm,B,Math 8,True
3012,$(x^{3}-64):(x^{2}+4x+16)$ we get the result?,x + 4,-(x - 4),-(x+4),x - 4,D,Math 8,True
3013,"If a square has a side of 4 cm, what is the diagonal of that square?",2 cm,$\sqrt{32}$ cm,8 cm,$\sqrt{8}$ cm,B,Math 8,True
3014,The result of simplifying the fraction: $\frac{1-x^{2}}{x(1-x)}$ is?,$-\frac{1+x}{x}$,$\frac{-2}{x}$,$\frac{-1}{x}$,$\frac{1+x}{x}$,D,Math 8,True
3017,Which of the following figures has 4 axes of symmetry?,Square,Rectangle,Diamond,Parallelogram,A,Math 8,True
3018,Which answer is not equal to $x^{2}-4$?,(x-2)(x+2),(x-2)(2+x),-(2-x)(2+x),(2-x)(2+x),D,Math 8,True
3019,What is the result of the calculation $(x+y)^{2} - (xy)^{2}$?,$2y^{2}$,$2x^{2}$,4xy,0,C,Math 8,True
3021,What is the length of the median corresponding to the hypotenuse of a right triangle with right-angled sides equal to 5 cm and 12 cm?,6.5 cm,6 cm,13 cm,10 cm,A,Math 8,True
3022,How many x values satisfy $(2x-1)^{2}-(5x-5)^{2} = 0$,0,1,2,3,C,Math 8,True
3023,An equilateral triangle has a side length of 14cm. What is the length of a midsegment of that triangle?,34 cm,7 cm,6.5 cm,21 cm,B,Math 8,True
3024,The sum of the values of x that satisfy $x(x-1)(x+1) + x^{2} - 1 = 0$ is?,2,-1,1,0,D,Math 8,True
3025,"Given isosceles trapezoid ABCD with small base AB, height AH = 5cm and angle D = $45^\circ$. What is the length of large base CD?",13 cm,10 cm,12 cm,8 cm,A,Math 8,True
3026,Calculate the value of the expression: $A = 35^{2} - 700 + 10^{2}$,252,152,452,202,A,Math 8,True
3029,Given the expression $B = \bigg(\frac{1}{x-2}-\frac{1}{x-2}+\frac{1}{x-2}\bigg).\bigg(\frac{2}{x}-1\bigg)$. Simplifying B we get?,$B = \frac{-1}{x+2}$,$B = \frac{1}{x+2}$,$B = \frac{4}{x+2}$,$B = \frac{-4}{x+2}$,D,Math 8,True
3031,Calculate the value of the expression $A = 8x^{3} +12x^{2}y + 6xy^{2} + y^{3}$ at x = 2 and y = -1.,1,8,27,-1,C,Math 8,True
3033,Given $(4x^{2}+2x−18)^{2}−(4x^{2}+2x)^{2}=m(4x^{2}+2x−9)^{2}$. Find m?,m = −18,m = 36,m = −36,m = 18,C,Math 8,True
3034,Which of the following expressions is not an algebraic fraction?,$\frac{1}{x^{2}+1}$,$\frac{x+1}{2}$,$x^{2} - 5$,$\frac{x+1}{10}$,D,Math 8,True
3035,"For the polynomial $x^{4} + ax^{2} + 1$ to be divisible by $x^{2} + 2x + 1$, what is the value of a?",a = −2,a = 1,a = −1,a = 0,A,Math 8,True
3036,The quotient of the division $(9x^{4}y^{3}−18x^{5}y^{4}−81x^{6}y^{5}):(−9x^{3}y^{3})$ is a polynomial with degree?,5,9,3,1,A,Math 8,True
3038,What is the maximum value of the fraction $\frac{5}{x^{2}-6x+10}$?,5,-5,2,-2,A,Math 8,True
3039,Given |x| < 2 . Then which of the following statements is true when talking about the value of the expression $A = x^{4} + 2x^{3} - 8x - 16$ ?,A > 1,A > 0,A < 0,A ≥ 1,C,Math 8,True
3041,An isosceles trapezoid has a side length of 2.5cm; the median is 3cm. What is the perimeter of the trapezoid?,8 cm,12 cm,11.5 cm,11 cm,D,Math 8,True
3042,"Given triangle ABC and triangle A′B′C′ are symmetrical through line d, knowing AB = 4cm, BC = 7cm and the perimeter of triangle ABC = 17cm. Then the length of side C′A′ of triangle A′B′C′ is?",17 cm,6 cm,7 cm,4 cm,B,Math 8,True
3045,The solution set of the equation - 4x + 7 = - 1 is?,S = {2},S = {-2},S = {32},S = {3},A,Math 8,True
3047,The solution set of the equation $\frac{-7x^{2}+4}{x^{3}+1} = \frac{5}{x^{2}-x+1}-\frac{1}{x+1}$ is?,S = {0; 1},S = {-1},S = {0; -1},S = {0},D,Math 8,True
3050,The equation |x − 1| + |x − 3| = 2x − 1 has the number of solutions,2,1,3,0,B,Math 8,True
3052,What is the smallest solution of the equation |2 + 3x| = |4x − 3|?,$frac{1}{7}$,5,$frac{-1}{7}$,-5,A,Math 8,True
3054,"Given a > b and c > 0, choose the correct conclusion.",ac > bc,ac > 0,ac ≤ bc,bc > ac,A,Math 9,True
3056,What is the smallest integer that satisfies the inequality $\frac{x+4}{5}-x+5 < \frac{x+3}{3} - \frac{x-2}{2}$?,7,6,8,5,A,Math 9,True
3058,Calculate the solutions of the equation: $(x^{2}−3x+3)(x^{2}−2x+3)=2x^{2}$ is,-2,2,4,3,D,Math 9,True
3059,Given line y = (m + 5)x – 2. This line is perpendicular to line x – 2y = 3 when?,m = -6,m = -3,m = -7,m = -4,C,Math 9,True
3060,Given the function y = (m - 1)x + m – 1. Which of the following conclusions is correct?,"For m > 1, the function y is a monotonically increasing function.","For m > 1, the function y is a decreasing function.","With m = 0, the graph of the function passes through the origin.","With m = 2, the graph of the function passes through the point with coordinates ($\frac{−1}{2}$; 1)",A,Math 9,True
3061,"Given triangle ABC right at A, height AH. Knowing AB = 5; AC = 7, BH = x, CH = y. Point out an incorrect formula.",$5^{2}=x^{2}(x+y)^{2}$,$5^{2} = x(x+y)$,$7^{2} = y(x+y)$,$5^{2}+7^{2}=(x+y)^{2}$,A,Math 9,True
3062,Given cos⁡α = 0.8. Calculate sin α (where α is the acute angle),sin⁡α = 0.6,sin⁡α = ±0.6,sin⁡α = 0.4,Other results,A,Math 9,True
3063,Given two lines xy and x'y' perpendicular to each other at O. A line segment AB = 8 moves so that A is always on xy and B is always on x'y'. Then the midpoint M of line segment AB moves on which segment?,The line parallel to xy is 4 meters from xy.,The line parallel to x'y' is 4 meters away from x'y'.,Circle with center O and radius is 4,Circle with center O and radius 8,C,Math 9,True
3065,For what value of x does the expression $9x^{2}+6x+1$ have a square root? Which of the following statements is most correct?,For all x > 0,For all x,x = 0,x = −13,B,Math 9,True
3068,"Given (O; 15cm) with chord AB = 24 cm, what is the distance from center O to chord AB?",12 cm,9 cm,8 cm,6 cm,B,Math 9,True
3073,Given the line 2y - x - 4 = 0 intersecting the coordinate axes at A; B respectively. Then the equation of the median line OM of triangle OAB is?,y = -2x,y = 2x,$y = \frac{-1}{2}x$,$y = \frac{1}{2}x$,D,Math 9,True
3075,If two lines y = -3x + 4 (d1) and y = (m + 1)x + m (d2) are parallel to each other then m is equal to,– 2,3,-4,-3,C,Math 9,True
3079,"How many pairs of solutions (x; y) does the equation 3x + 5y = 501 have with x, y being positive integers?",33,34,35,100,A,Math 9,True
3081,"In animal populations, the type of distribution that helps reduce the level of competition between individuals is",random,flock,even,by group,C,Math 9,True
3106,How many bones are there in the lower leg?,2,3,1,4,A,Born 8,True
3107,"Based on the classification, which of the following tissues is not classified in the same group as the other tissues?",Blood tissue.,Smooth muscle tissue.,Bone tissue.,Fat tissue.,B,Born 8,True
3108,"In blood, plasma accounts for what percentage of volume?",75%.,60%.,45%.,55%.,D,Born 8,True
3109,Where does the bacteria Helicobacter pylori – the culprit causing stomach ulcers – live on the wall of this organ?,Submucosal layer.,Mucosal layer.,Muscle layer.,Film coating.,A,Born 8,True
3111,"In long bones, the role of dispersing impact force belongs to which component below?",Hard bone tissue.,Spongy bone.,Cartilage covers the ends of bones.,Periosteum.,B,Born 8,True
3112,Food is pushed from the stomach into the intestines by which of the following activities? 1. Contraction of the cardiac muscles. 2. Contraction of the pyloric sphincter. 3. Contraction of the stomach muscles.,"1, 2, 3.","1, 3.","2, 3.","1, 2.",C,Born 8,True
3113,How many muscles does the human body have?,400 muscles,600 muscles,800 muscles,500 muscles,B,Born 8,True
3114,Which of the following statements is correct?,"The reflex circuit is built from four elements: sensory organs, interneurons, afferent neurons, and effectors.",The reflex circuit consists of a reflex arc and a feedback pathway.,The reflex arc consists of a reflex loop and a feedback pathway.,"Reflex arc is built from 3 elements: receptor, interneuron and effector.",B,Born 8,True
3115,"In the human airway, the trachea is the part that connects to the",throat and bronchi.,bronchi and nose.,throat and larynx,larynx and bronchi.,D,Born 8,True
3117,Atherosclerosis is closely related to which of the following lipids?,Phospholipids.,Estrogen.,Cholesterol.,Testosterone.,C,Born 8,True
3119,The dead skin cell layer is located in:,Outside the epidermis.,Inside the epidermis.,Subcutaneous fat.,Dermis,A,Born 8,True
3120,"After fertilization, the egg will nest and develop into a fetus in:",Vagina.,Fallopian tube.,Uterus.,Ovary.,C,Born 8,True
3121,The functions of the prostate gland are:,Lead sperm out of the body.,Sperm nutrition,Produce sperm.,Secretion mixes with sperm to form semen.,D,Born 8,True
3122,Estrogen hormone has the following effects:,Stimulates the body's thermogenesis.,Regulate blood sugar.,Causes physical changes in female puberty.,Stimulates body heat production and causes body changes during female puberty.,C,Born 8,True
3125,The motor area is located in:,Ascending frontal gyrus of the frontal lobe.,Temporal lobe.,Ascending parietal gyrus.,Occipital lobe.,A,Born 8,True
3126,"Poorly functioning or damaged renal tubular cells will lead to: 1. The process of reabsorption of necessary substances will be reduced. 2. The internal environment will be changed. 3. Metabolism will be disrupted. 4. The process of excretion of waste and toxic substances will be reduced. 5. Blood components are similar to urine components. 6. Urine will mix directly into the blood, poisoning the body. 7. Causes diabetes. 8. Creates kidney stones.","1, 2, 3, 4, 6.","4, 5, 6, 7, 8.","1, 2, 4, 6, 8.","1, 2, 3, 5, 7.",A,Born 8,True
3128,"When dust gets into our eyes, we often rub them, making them red. Which part of the eye does the dust get into?",dura,Mesh.,Choroid.,cornea,D,Born 8,True
3129,The parathyroid glands function to:,Sex hormones.,Regulates blood sugar and sodium levels.,Digestive secretion and hormone secretion.,Participates in regulating calcium and phosphorus in the blood.,D,Born 8,True
3130,What vitamin deficiency causes beriberi and neuritis?,Vitamin B12.,Vitamin B1.,PP.,Vitamin B2.,B,Born 8,True
3132,Which vitamins are water soluble?,Vitamin C and K.,Vitamin K.,Vitamin A.,Vitamin C,D,Born 8,True
3135,Which of the following organisms is not capable of movement?,Banana tree.,Fish.,lizard,Panther.,A,Born 8,True
3138,Which of the following plants has pinnate leaves?,Five-leaf ivy,Moringa,River bone,Sea spinach,B,Born 6,True
3139,Which of the following plants has a greater stem length growth rate than the others?,Grapefruit,Gourd,Lim,Information,B,Born 6,True
3140,Which of the following plants is a light-loving plant?,Fish mint,Pincers,Eucalyptus,Betel leaves,C,Born 6,True
3141,Which of the following plants does not have the ability to reproduce naturally?,Bamboo,Ginger,Eggplant,Lotus,C,Born 6,True
3142,"During photosynthesis, leaves release what kind of gas?",Hydrogen gas,Nitrogen gas,Oxygen,Carbon dioxide,C,Born 6,True
3143,Self-pollinating flowers,can be unisexual or bisexual,always bisexual,always unisexual,"Most flowers are bisexual, a few are unisexual",B,Born 6,True
3144,"Choose the appropriate word to fill in the blank in the following sentence: In leaves, … is the part that receives light to make organic matter for the plant.",air hole,epidermis,chloroplast,leaf veins,C,Born 6,True
3146,The length of a tree trunk is due to cell division of which type of tissue?,Root tissue,Conductivity,Shelter,Apical meristem,D,Born 6,True
3148,"To identify the ability of plants to absorb water and minerals, what color flowers should we choose?",Red,White,Purple,Yellow,B,Born 6,True
3149,Self-pollinating flowers are,flowers whose pollen falls on the stigma of that flower,flower whose pollen falls on the pistil of another flower on the same plant,Flowers have self-pollinating pollen grains.,flower whose pollen grains from the pistil fall on its own stamen,A,Born 6,True
3150,Most of the water absorbed by the roots of the plant is released into the environment through the phenomenon of,"flowering, fruiting",transpiration,root respiration,photosynthesis in leaves,B,Born 6,True
3151,What is the most colorful part of insect-pollinated flowers called?,Stigma,Second,Colon,Radio,C,Born 6,True
