Question,A,B,C,D,Answer,Grade
" In an elastic medium, there is a mechanical wave with a frequency of 10 Hz and a wave speed of 40 cm/s. Two points M and N on the wave direction oscillate in phase with each other. Between them, there are only two points E and F. Knowing that when E or F has the maximum oscillation speed, at M the oscillation speed is minimum. The distance MN is", 2 cm., 3 cm., 4 cm., 5 cm., C, Physics 11
 whistle emits sound waves of frequency 1000 Hz moving away from a person standing on the side of the road towards a cliff at a speed of 10 m/s. Take the speed of sound in air as 330 m/s. The frequency of the sound the person hears after reflecting on the cliff is, 1000 Hz., 1031.3 Hz.,1140.6 Hz., 1008.2 Hz., B, Physics 11
" A thin steel sheet, one end is kept fixed, the other end is stimulated to oscillate with a period of 0.05s. The sound emitted by the steel sheet is", audible, infrasound, supersonic, transmitted in vacuum, A, Physics 11
" A sound with a certain frequency travels in aluminum, water, and air at speeds v1, v2, and v3, respectively. Which of the following statements is correct?", v1 > v2 > v3, v2 > v1 > v3, v3 > v1 > v2, v1 > v3 > v2, A, Physics 11
 A sound wave travels in air with a speed of 340 m/s and a wavelength of 34 cm. The frequency of this wave is, 100 Hz, 1000 Hz, 200 Hz, 2000 Hz, B, Physics 11
 Longitudinal waves are, A. waves traveling along a string., B. wave in which the direction of oscillation (of the elements of the medium) coincides with the direction of propagation., C. The wave propagates along the vertical axis of the coordinate axis., D. waves in which the elements of the medium oscillate perpendicular to the direction of wave propagation., B, Physics 11
 whistle emits sound waves of frequency 1000 Hz moving away from a person standing on the side of the road towards a cliff at a speed of 10 m/s. Take the speed of sound in air as 330 m/s. The frequency of the sound the person hears directly from the whistle is, 970.6 Hz., 598.1 Hz., 785.9 Hz., 992.1 Hz., A, Physics 11
 Longitudinal waves can be transmitted in various media., solid and liquid, liquid and gas," solid, liquid and gas"," solid, liquid, gas and vacuum", C, Physics 11
 Choose the correct sentence. Ultrasound is sound., A. has an extremely small frequency., B. has great strength., C. transmits faster than sound in any medium.," D. has a frequency above 20,000 Hz.", D, Physics 11
 A steel sheet oscillates with a period of T = 80 (ms) then has a frequency of, 10 Hz., 12.5Hz., 15 Hz., 17.2 Hz., B, Physics 11
 Infrared rays and ultraviolet rays have the following common properties:, transmitted in vacuum, used in medicine to treat rickets, used in industry and life for drying and heating, cause photosynthesis, A, Physics 11
 Which of the following statements is false when talking about electromagnetic waves?, A. Electromagnetic waves are transverse waves.," B. When electromagnetic waves propagate, the electric field intensity vector is always perpendicular to the magnetic induction vector."," C. When electromagnetic waves propagate, the electric field intensity vector is always in the same direction as the magnetic induction vector.",D. Electromagnetic waves can propagate in a vacuum., C, Physics 11
" The wavelength of orange radiation in vacuum is 600 nm, then the frequency of that radiation is", 5.10^12 Hz., 5.10^13 Hz., 5.10^14 Hz., 5.10^15 Hz., C, Physics 11
 An electromagnetic wave with a frequency of 60 GHz has a wavelength in a vacuum of, 5mm, 5 cm., 500 μm., 50 μm., A, Physics 11
 The outstanding effect of infrared rays is the effect, photovoltaic, light up, heat, chemical (film darkening), C, Physics 11
"In the mechanical industry, based on which of the following properties of ultraviolet rays do people detect cracks on metal surfaces:", Stimulates many chemical reactions., Stimulates luminescence of many substances., Effect on film., Ionizes air and many other substances., B, Physics 11
 Ultraviolet rays do not have which of the following properties?, Photovoltaic., Light up., Stimulates luminescence., Physiology, B, Physics 11
" In RO water purifiers in households today, radiation is used to kill or completely deform bacteria.", infrared, radio wave, visible light, ultraviolet rays, D, Physics 11
" In the Young's experiment on interference of light, the slits are illuminated with monochromatic light. The distance between the two slits is 2 mm, the distance from the two slits to the screen is 4 m. The distance between 5 consecutive bright fringes measured is 4.8 mm. The coordinates of the 3rd order bright fringe are", ± 9.6 mm., ± 4.8 mm., ± 3.6 mm., ± 2.4 mm., C, Physics 11
" In the Young experiment on light interference, knowing a = 0.4 mm; D = 1.2 m, source S emits monochromatic radiation with λ = 600 nm. The distance between 2 consecutive bright fringes on the screen is", 1.6 mm., 1.2 mm., 1.8 mm., 1.4 mm., C, Physics 11
"In the Young's experiment on light interference, a = 5 mm, D = 2 m. The distance between 6 consecutive bright fringes is 1.5 mm. The wavelength of monochromatic light is", 0.65 μm., 0.71 μm., 0.75 μm., 0.69 μm., C, Physics 11
" On the 7.2 mm wide surface of the interference zone, people counted 9 bright fringes (two edges are two bright fringes). At a position 14.4 mm from the central fringe is a fringe.", A. 18th night., B. Friday night., C. 18th level brightness., D. 16th degree brightness., D, Physics 11
" On the water surface, there are two wave sources that oscillate perpendicular to the water surface, with the same equation u = Acosωt. In the area where the two waves meet, the points where the water particles oscillate with maximum amplitude will have the difference in the path of the waves from the two sources to there equal to", an odd number of wavelengths., an odd number of half wavelengths., an integer number of wavelengths., an integer number of half wavelengths., C, Physics 11
"On the water surface, two combined sources A and B oscillate with the same equation: x = 0.4cos(40πt) cm. At a point M on the water surface, 14 cm and 20 cm from sources A and B, it is always stationary. Between M and the perpendicular bisector of AB, there are two other maxima. The wave propagation speed is",30 cm/s, 37 cm/s, 41 cm/s, 48 cm/s, D, Physics 11
" In an experiment on wave interference on the water surface, two coherent sources A, B oscillate in phase, with the same frequency f = 32 Hz. At a point M on the water surface, distances d1 = 28 cm, d2 = 23.5 cm from sources A, B; the wave has maximum amplitude. Between M and the perpendicular bisector AB there is another series of maximums. The speed of wave propagation on the water surface is", 32 cm/s., 64 cm/s., 72 cm/s., 91 cm/s., C, Physics 11
"Two wave sources S1, S2 on the liquid surface oscillate perpendicular to the liquid surface with the same frequency of 50 Hz and the same initial phase, assuming the wave amplitude is constant. On the line segment S1S2, we see two points 9 cm apart oscillating with maximum amplitude. Knowing that the wave propagation speed on the liquid surface has a value of 1.5 m/s < v < 2.25 m/s. The wave propagation speed is", 1.5 m/s., 1.6 m/s., 1.7 m/s., 1.8 m/s., D, Physics 11
" A 1m long string, fixed at both ends and vibrating with two wave bundles, the wavelength of the oscillation is", 0.5 m., 1.0 m., 1.2 m., 1.5 m., B, Physics 11
" On a 90 cm long string there is a standing wave. Including the 2 nodes at both ends of the string, there are 10 wave nodes on the string. Knowing that the frequency of the wave traveling on the string is 200 Hz. The speed of the wave traveling on the string is", 25 m/s., 40 m/s., 57 m/s., 68 m/s., B, Physics 11
 A 0.6 m long string fixed at both ends vibrates with a single antinode (in the middle of the string). The wavelength has a value of, 0.5 m., 1.0 m., 1.2 m., 1.8 m., C, Physics 11
Which of the following statements is incorrect when talking about standing waves?, Points on an antinode oscillate in phase., In standing waves there is phase transfer from one point to another., The antipoint is the point where the incident and reflected waves are in phase., The nodal point is the point where the incident and reflected waves are out of phase., B, Physics 11
" Choose the correct sentence. At the reflection point, the reflected wave", A. in phase with the incident wave if the obstacle is fixed.,B. out of phase with the incident wave if the obstacle is fixed., C. is always in phase with the incoming wave., D. is always out of phase with the incoming wave., B, Physics 11
 Standing wave is, A. Waves are formed between two fixed points in a medium., B. Waves are created by interference between incident waves and reflected waves.,"C. Waves are created by the interference of two coherent waves, on a straight line connecting the two emission centers.", D. Waves are created by interference between incident waves and reflected waves., D, Physics 11
 Standing waves on an elastic string fixed at both ends. Two points A and B on the string 1m apart are two nodes. Knowing the wave frequency is from 300 Hz to 450 Hz. The oscillation transmission speed is 320 m/s. The frequency of the wave on the string is, 320 Hz., 400 Hz., 160 Hz., 100 Hz., A, Physics 11
" On the elastic string AB, there is a standing wave with two fixed ends, the frequency can be changed, the length of the string is constant, the wave propagation speed is always considered constant. When the frequency is equal to f, there are three antinodes on the string. Increasing the frequency by 20 Hz, there are five antinodes on the string. To have seven antinodes on the string, it is necessary to continue increasing the frequency by", 5 Hz., 10 Hz., 15 Hz., 20 Hz., D, Physics 11
" 0.6 m long string with two fixed ends oscillates with a single antinode (in the middle of the string). If the string oscillates with three antinodes, the wavelength will be", 0.2 m., 0.4 m., 0.6 m., 0.8 m., B, Physics 11
" On a 1.2 m long string there is a standing wave system. Including both ends of the string, there are a total of 4 nodes on the string. Knowing that the wave propagation speed on the string is v = 80 m/s. The oscillation frequency of the string is", 50 Hz., 100 Hz., 120 Hz., 180 Hz., B, Physics 11
" An elastic string 60 cm long, vibrating at a frequency of 50 Hz, on the string forms a stable standing wave with 4 antinodes, the two ends are two wave nodes. The wave velocity on the string is", 20 m/s., 35.7 m/s., 40 m/s., 11.3 m/s., A, Physics 11
" On the water surface, two combined sources A and B oscillate with the same equation: x = 0.4 c os 40 π t cm. At a point M on the water surface, 14 cm and 20 cm from sources A and B, it is always stationary. Between M and the perpendicular bisector of AB, there are two other maxima. The wave propagation speed is", 30 cm/s., 37 cm/s., 41 cm/s., 48 cm/s., D, Physics 11
Which of the following statements is true?," A. When there is a standing wave on an elastic string, all points on the string stop and do not oscillate."," B. When the wave stands on an elastic string, the wave source stops oscillating but the points on the string continue to oscillate."," C. When there is a standing wave on an elastic string, only the reflected wave remains on the string, and the incident wave is canceled out."," D. When there is a standing wave on an elastic string, there are points of strong oscillation alternating with stationary points on the string.", D, Physics 11
" Two point charges of the same magnitude 5.0 x 10-4 C placed in a vacuum, to interact with each other by a force of magnitude 2.5 x 10-2 N, they must be placed", 3 m., 30 m., 300 m., 3000 m., C, Physics 11
" Two charges q1 = 6.10-8 C, q2 = - 6.10-8 C are placed at A, B in air (AB = 8 cm). Determine the force acting on q3 = 6.10-8 C, if: CA = 5 cm, CB = 3 cm", 5 N., 0.5 N., 0.05 N., 0.005 N., C, Physics 11
" Two point charges of the same sign and magnitude 3.10-7 C are placed 1 m apart in a vacuum, then they", repel each other with a force of 8.1 x 10-4 N., attract each other with a force of 8.1 x 10-4 N., repel each other with a force of 4 N., repel each other with a force of 4.10-4 N., A, Physics 11
 Two opposite charges will:, attract each other, push each other, do not interact with each other., both attract and repel each other., A, Physics 11
 Choose the wrong statement?, A point charge is a charge considered concentrated at a point., There are two types of electric charge: positive charge and negative charge.," Charges of the same sign repel each other, charges of opposite signs attract each other.","When attracted to each other, the charges will move closer together.", D, Physics 11
 Which of the following statements is correct when talking about dielectrics?, A. Dielectric is a conductive medium. The dielectric constant of vacuum is 1., B. Dielectric is an insulating medium. The dielectric constant of vacuum is 1., C. The dielectric constant of a medium indicates how many times the interaction force between charges in that medium is smaller than when they are placed in a vacuum., D. The dielectric constant can be less than 1., B, Physics 11
" Two charges q1 = 6.10^-8C and q2 = 3.10^-8C placed in a vacuum, to interact with each other by a force of magnitude 1.8.10^-2 N, they must be placed", 0.3 cm, 3 cm, 3m, 0.03 m, D, Physics 11
" point charge q = 5.10-7 C is placed at point M in an electric field, subject to the action of an electric field force of magnitude 6.10-2 N. The electric field intensity at M is:", 2.4.10^5 V/m., 1.2 V/m., 1.2.10^5 V/m., 12.10^-6 V/m., C, Physics 11
" At a point, there are two perpendicular electric field strengths with magnitudes of 6000 V/m and 8000V/m. The magnitude of the total electric field strength is", 10000 V/m., 7000 V/m., 5000 V/m., 6000 V/m., A, Physics 11
 A small sphere carrying a charge of 10-9 C is placed in air. The electric field intensity at a point 5 cm away from the sphere is, 6.10⁵ V/m, 2.10⁴ V/m, 7.2.10³ V/m, 3.6.10³ V/m, D, Physics 11
 Electric field is, A. the air environment around the charge., B. the environment contains electric charges.," C. the environment surrounding the charge, attached to the charge and exerting electric forces on other charges placed in it.", D. conductive medium., C, Physics 11
" In the following units, the unit of electric field strength is:", AV, BVm, C. V/m., D.N, C, Physics 11
" Given 2 point charges q1 = 5.10-9 C; q2 = 5.10-9 C placed at 2 points A, B 10 cm apart in vacuum. Determine the electric field intensity at point M located at the midpoint of AB?", 9000 V/m towards the positive charge., 9000 V/m towards the negative charge., equal to 0., 9000 V/m perpendicular to the line joining the two charges., B, Physics 11
"If the distance from the source charge to the point under consideration increases 3 times, the electric field strength", A. decreased by 3 times., B. increased 3 times., C. decreased by 9 times., D. increased 9 times., C, Physics 11
 Which of the following statements is not a characteristic of the electric force acting on a positive charge placed in a uniform electric field?,A. Point placed at point charge., B. Parallel to the magnetic field lines.,C. Opposite direction to E., D. Magnitude F = qE., C, Physics 11
" An electron moves along the lines of force of a uniform electric field. The electric field intensity is 100 V/m. The initial velocity of the electron is 3.105 m/s, the mass of the electron is 9.1.10-31 kg. From the time it starts moving until its velocity is 0, the electron has traveled a distance of", 5.12 mm., 0.256 m., 5.12 m., 2.56 mm., B, Physics 11
Two parallel flat metal plates carrying opposite charges are 2 cm apart. The electric field strength between the two plates is 3.10³ V/m. A charged particle q = 1.5.10⁻² C moves from the positive plate to the negative plate with an initial velocity of 0. The mass of the charged particle is 4.5.10⁻⁶ g. The velocity of the charged particle when it hits the negative plate is, 4.10⁴ m/s., 2.10⁴ m/s., 6.10⁴ m/s., 10⁵ m/s., B, Physics 11
" Connect the two poles of a constant voltage source with a voltage of 50 V to the two plates of a flat capacitor with a distance between the two plates of the capacitor of 5 cm. In the space between the two plates of the capacitor, a proton with a charge of 1.6 x 10-19 C and a mass of 1.67 x 10-27 kg moves from point M 6 cm from the negative plate of the capacitor to point N 2 cm from the negative plate of the capacitor. Knowing that the speed of the proton at M is 10^5 m/s. The speed of the proton at N is", 1.33.10^5 m/s., 3.57.10^5 m/s., 1.73.10^5 m/s., 1.57.10^6 m/s., A, Physics 11
"When a charge moves in a uniform electric field in the direction of the field lines, it receives a work of 10 J. When it moves at an angle of 45⁰ to the field lines over the same distance, it receives a work of", 5 J., 5√3/2 J., 5√2 J., 7.5 J., C, Physics 11
" Let the charge move between two fixed points in a uniform electric field with an electric field strength of 100 V/m, then the work of the electric field force is 50 mJ. If the electric field strength is 200 V/m, then the work of the electric field force moving the charge between the two points is", 200 mJ., 100 mJ., 50 mJ., 150 mJ., B, Physics 11
 The work of the electric field force moving a charge of -5μC in the opposite direction of a line of force in a uniform electric field of 1000 V/m over a distance of 1 m is, 5000 J., - 5000 J., 5 mJ., - 5 mJ., C, Physics 11
 Which of the following statements is incorrect?, The work of electric force is equal to the decrease in potential energy of electric charge in electric field.,The expression for calculating the work of electric force in a uniform electric field is: A = Ed, A static electric field is a potential field., The work of the electric force acting on a charge does not depend on the shape of the path of the charge but only on the position of the starting point and the ending point of the path in the electric field., B, Physics 11
"If a charge moves in an electric field so that its potential energy increases, then the work of the electric field force", minus, positive, zero, not enough data to determine, A, Physics 11
" If the path length of the charge in the electric field increases by 2 times, then the work of the electric field force", double, 2 times reduction., constant., Not enough data to determine., D, Physics 11
" An electron moves along the lines of force of a uniform electric field. The electric field intensity E = 1000 V/m. The initial velocity of the electron is 3.10^5 m/s, the mass of the electron is 9.1.10^-31 kg. At the time the velocity is zero, how far has it traveled?", 0.26 mm., 2.6 mm., 26mm, 260 mm., A, Physics 11
 Calculate the work done by the electric force on a 5 μC charge when it moves from point A to point B. Knowing that U<sub>AB</sub> = 1000 V, 5000 J, - 5000 J, 5 mJ, - 5 mJ, C, Physics 11
 The work of the electric field force moving a charge of -5 μC from A to B is -5 mJ. What is the value of the electric potential difference U<sub>AB</sub>?, 1000 V., -1000 V., 2500 V., - 2500 V., A, Physics 11
Two points on a line of force in a uniform electric field are 0.5 m apart. The magnitude of the electric field intensity is 1000 V/m. The potential difference between the two points is, 500 V., 1000 V., 2000 V., Not enough data to determine., A, Physics 11
 Electric potential is a quantity that characterizes the electric field alone., A. The surface that creates potential energy when a charge q is placed there., B. The ability to do work in a space with an electric field., C. ability to do work at a point., D. ability to exert force at all points in space with electric field., A, Physics 11
 The electric potential at a point M in an electric field is determined by the expression:, A. qM∞=V, BAM∞=V, CVM=AM∞/q, DVM=q/AM∞, C, Physics 11
 Electric potential is a quantity:, is an algebraic quantity., is a vector quantity., always positive,always negative, A, Physics 11
" The unit of electric potential is V, with 1V equal to", 1 JC, 1 J/C., 1 N/C., 1. J/N., B, Physics 11
" A capacitor has a capacitance of 2 μF. When a voltage of 5 V is applied to the two plates of the capacitor, the capacitor accumulates an amount of charge of", 2.10-6 C, 2.10-5 C, 10-6 C, 10-5 C, D, Physics 11
" The capacitor bank consists of three capacitors: C1 = 10 (μF), C2 = 15 (μF), C3 = 20 (μF) connected in parallel. The capacitance of the capacitor bank is:", 5 (μF), 45 (μF), 0.21 (μF), 20 (μF), B, Physics 11
"If a voltage of 5 V is applied to the two ends of a capacitor, the capacitor will accumulate an electric charge of 2 μC. If a voltage of 10 V is applied to the two ends of a capacitor, the capacitor will accumulate an electric charge of", 40 μC., 1 μC., 4 μC., 0.1 μC., C, Physics 11
 Farad is the capacitance of a capacitor that," A. If there is a voltage of 1V between two plates of a capacitor, it can accumulate a charge of 1 C."," B. If there is a constant voltage between the two plates of a capacitor, it is charged by 1 C.", C. between two capacitor plates there is a dielectric with dielectric constant equal to 1., D. The distance between the two capacitor plates is 1 mm., A, Physics 11
 What does the pair of numbers printed on the capacitor case indicate?, A. The smallest value of capacitance and voltage applied to the two poles of the capacitor., B. Distinguish the names of different types of capacitors., C. Capacitance of the capacitor and the limit of the voltage applied to the two poles of the capacitor., D. Energy of the electric field in the capacitor., C, Physics 11
 In which of the following cases do we not have a capacitor?, Between the two metal plates is ceramic., Between the two metal plates is air., Between the two metal plates is pure water., Between the two metal plates is a NaOH solution., D, Physics 11
" If the voltage between the two plates of the capacitor increases 4 times, the capacitance of the capacitor", A. increased by 2 times., B. decreased by 2 times., C. increased 4 times., D. unchanged., D, Physics 11
" When superconductivity occurs,", The resistivity of the metal decreases., The resistivity of the metal increases., resistivity does not change., resistivity increases and then decreases., A, Physics 11
 Place a voltage U = 2V at both ends of a resistor R = 20 Ω for a period of time t = 20 s. The amount of charge moving through the resistor is, q = 4 C, q = 1 C, q = 2 C, q = 5 mC, C, Physics 11
 The Volt-Ampere characteristic curve shows the dependence of the current intensity through a resistor on the voltage difference at the two ends of the conductor., elliptical curve, straight, hyperbol, parabol, B, Physics 11
Which of the following statements indicates that metals are good conductors of electricity?, The distance between the ions in the metal lattice is very large., The density of free electrons in metals is very large., The density of free ions is large., The value of charge contained in each free electron of metals is larger than in other substances., B, Physics 11
 What factors does the resistivity of metals depend on?,Temperature of the metal., Size of metal conductor., The nature of metals., Temperature and nature of metallic conductors., D, Physics 11
" When the cross-sectional area of a homogeneous metal block is doubled, the resistance of the metal block", double, increase 4 times, 2 times reduction, 4 times reduction, C, Physics 11
" A copper wire has a resistance R₁ at 50⁰C, temperature coefficient of resistance a = 4.3.10⁻³ K⁻¹. The resistance of the wire at 100⁰ C is 90 W. Calculate the resistance of the copper wire at 50⁰ C?", 33 W., 75.6 W., 170 W., 89 W., B, Physics 11
" According to Ohm's law for the entire circuit, the current intensity for the entire circuit", inversely proportional to the electromotive force of the source., inversely proportional to the internal resistance of the source., inversely proportional to the external resistance of the source., inversely proportional to the sum of internal and external resistance., D, Physics 11
 Given an electric circuit consisting of a 1.5 V battery with an internal resistance of 0.5 Ω connected to an external circuit with a 4.5 Ω resistor. The current intensity in the entire circuit is, 0.3 A, 0.25A, 0.5A, 3 A, A, Physics 11
"In a closed circuit with an external resistance of 10 Ω and an internal resistance of 1 Ω, the current is 0.5 A. The voltage at the two ends of the source and the electromotive force of the source are", 11V and 10V, 10V and 11V, 5.5V and 5V, 5V and 5.5V, D, Physics 11
" A battery has an electromotive force of 12V, generating 720 J of work when moving the charge inside. Knowing that the time to move this amount of charge is 5 minutes. The current running through the battery at that time is", I = 1.2 A, I = 2 A, I = 0.2 A, I = 12 A, C, Physics 11
 The two electrodes in an electrochemical cell consist of, two conductors of different nature, two conductors of the same nature,two insulators of the same nature," a conductor, an insulator", A, Physics 11
 The work of the power source is, A. The amount of charge that the power source generates in 1 second.,B. The work of the strange force moves the charge inside the source., C. The work of the current in a closed circuit generated in 1 second., D. The work of the electric current when moving a positive charge in a closed circuit., B, Physics 11
 The electromotive force of a DC power source is E = 4 V. The work done by the strange force to move a charge q = 6 mC between two poles inside the power source is, 1.5 mJ, 6 mJ, 24 J, 4 J., C, Physics 11
 The amount of heat released in 2 minutes when a 2A current flows through a 100 Ω pure resistor is, 48 kJ, 24 J, 24000 kJ, 400 J, A, Physics 11
People heat 1 kg of water by 1°C by passing 1 A current through a 10 Ω resistor. Knowing that the specific heat capacity of water is 4200 J/kg.K. The required time is, 10 minutes, 7 minutes, 10 s, 1 hour., B, Physics 11
" An iron when used with a voltage of 220 V, the current running through the iron has an intensity of 5 A. The electricity bill to pay for using this iron for 30 days, 30 minutes per day, knowing that the electricity price is 2500 VND/(kWh).", 16500 VND, 16500 VND, 41250 VND, 14250 VND, C, Physics 11
 An electric stove is labeled 220V - 1500 W. The power consumed when using the stove for 30 minutes is, 22.10^6 J, 1500 kJ, 750 kJ, 2.7.10^6 J, D, Physics 11
" For decoration, people use 12V - 6W light bulbs connected in series with a power grid with voltage U = 120V. For the lights to light up normally, the number of light bulbs needed is", 2 balls, 10 balls, 20 balls, 40 balls, B, Physics 11
" circuit has a constant voltage at both ends. When the source resistance is set to 100 Ω, the circuit's power is 20 W. When the circuit resistance is set to 50 Ω, the circuit's power is", 10 W, 5W, 40 W, 80 W, C, Physics 11
 The rated power of electrical appliances is, A. the maximum power that the device can achieve., B. the minimum power that the tool can achieve., C. the power achieved when it is operating normally., D. average power of that device., C, Physics 11
 An object oscillates harmonically according to the equation x = 5cos(4πt + 2π/3)cm. The angular frequency of the oscillation is:, 5 rad/s., 4π rad/s., 2π/3 rad/s.,1/(2π) rad/s., B, Physics 11
 A small object oscillates with an amplitude of 4cm and a period of 2s. The distance the object travels in 4s is:, 32 cm., 16 cm., 8 cm., 64 cm., A, Physics 11
" An object oscillates harmonically, in 1 minute the object performs 30 oscillations. The object's oscillation period is", 2 s., 0.5 s., 1 s., 30 s., A, Physics 11
 An object oscillates in a harmonic motion with the equation x = 2cos(2πt - 7π/6)cm. The displacement of the object at time t = 0.25 (s) is:, 1 cm, 1.5 cm, 0.5 cm, -1cm, D, Physics 11
 The graph of harmonic oscillation is, a sine wave, a straight line, an ellipse, a parabola, A, Physics 11
 The object has an oscillating displacement graph as shown. The amplitude and period of the object are:," A = 2 cm, T = 0.8 s."," A = 4 cm, T = 0.4 s."," A = 2 cm, T = 0.4 s."," A = 4 cm, T = 0.8 s.", C, Physics 11
Choose the wrong statement from the following options:, Harmonic oscillation is periodic., Oscillation is a back and forth motion around a special position called the equilibrium position., Simple harmonic oscillation is an oscillation in which the displacement of the object is a tan (or cotangent) function of time.," Periodic oscillation is an oscillation in which the state of an object repeats itself in the same direction after equal, definite intervals of time.", C, Physics 11
" An object oscillates harmonically with an amplitude of 4 cm. When the phase of the oscillation is π/3, the displacement of the object is:", 2 cm, 4 cm, - 2 cm, - 4 cm, A, Physics 11
 Given a point material oscillating in harmonic mode with the equation:. The initial phase of the oscillation has which of the following values?, -4π/3 rad., 4π/3 rad., -5π/6 rad., π/3 rad., A, Physics 12
 Two harmonic oscillations have the same phase of oscillation. Which of the following is true about their displacements:, Always same sign., Always equal., Always opposite., Have equal magnitude but opposite signs., A, Physics 12
 Given two harmonic oscillations with equations: and . Which of the following statements is correct?, The first oscillation is in phase with the second oscillation., The first oscillation is out of phase with the second oscillation., The first oscillation is in phase with the second oscillation., The first oscillation is behind the second oscillation., B, Physics 12
" An object oscillates with the equation x = 5cos(4πt + π/6) cm. At time t = 1 s, determine the displacement of the oscillation.", 2.5 cm, 5 cm, 2.5√3cm, 2.5√2cm, C, Physics 12
 The phase of the oscillation is used to determine, oscillation state, amplitude of oscillation, oscillation period, oscillation frequency, A, Physics 12
"An object oscillates harmonically on a 6cm long orbit. Knowing that every 2 seconds the object performs one oscillation, at the initial moment the object is at the positive boundary position. Determine the object's oscillation equation.", x = 3cos(πt + π) cm., x = 3cos(πt) cm., x = 6cos(πt + π) cm., x = 6cos(πt) cm., B, Physics 12
 The equation for the object's velocity is: v = Aωcos(ωt). Which of the following statements is correct?, Time origin when the object has displacement x = -A, Time origin when the object has displacement x = A, Time origin when the object passes through the equilibrium position in the positive direction., Both A and B are correct., C, Physics 12
" An object oscillates harmonically with an amplitude of 4 cm. When the phase of the oscillation is π/3, the displacement of the object is:", 2 cm, 4 cm, - 2 cm, - 4 cm, A, Physics 12
" Which of the following statements is incorrect? When an object oscillates harmonically,", The kinetic energy of an object changes periodically over time., The potential energy of an object changes periodically over time., The mechanical energy of an object changes periodically over time., The velocity of an object changes harmonically over time., C, Physics 12
 The initial phase of harmonic oscillation depends on, A. time origin., B. coordinate axis., C. amplitude of oscillation., D. time origin and coordinate axis., D, Physics 12
 Harmonic oscillation changes direction when, maximum force, force has minimum magnitude, the force disappears., no force acting on the object, A, Physics 12
" In the harmonic oscillation of an object, which of the following three sets of quantities does not change over time?"," Velocity, displacement, acceleration.","Kinetic energy, amplitude, displacement."," Kinetic energy, potential energy, mechanical energy."," Mechanical energy, amplitude, period.", D, Physics 12
"When talking about the energy of an object vibrating in harmonic motion, which of the following statements is correct?",Potential energy and kinetic energy of an object are conserved during oscillation., The mechanical energy of an object changes periodically over time., The kinetic energy of an object reaches its maximum when the object is at its boundary position., The potential energy of an object reaches its maximum when the object is at its edge position., D, Physics 12
 The graph of harmonic oscillation is, a sine wave, a straight line, an ellipse, a parabola, A, Physics 12
" A point oscillates harmonically on the Ox axis. When the point moves from the boundary position to the equilibrium position,", potential energy of the point decreases., kinetic energy of the point increases., mechanical energy is conserved," A, B and C are all correct.", D, Physics 12
 The period of harmonic oscillation is, is the number of complete oscillations made in one second., is the number of complete oscillations made in one minute.,is the time it takes for an object to make one complete oscillation., is the time it takes for an object to make a number of complete oscillations., C, Physics 12
 Which of the following statements is incorrect when talking about harmonic oscillation?," In harmonic oscillation, the acceleration vector always points toward the equilibrium position and has a magnitude proportional to the magnitude of the displacement.",Simple harmonic oscillation is an oscillation in which the displacement of an object is a cosine (or sine) function of time., Harmonic oscillation is periodic., The graph of harmonic oscillation is a straight line., D, Physics 12
" When an object oscillates in harmonic motion, the motion of the object from the boundary position to the equilibrium position is a linear motion.", faster, gradually, round, slow down, A, Physics 12
" point oscillates harmonically on the Ox axis. When the point passes through the equilibrium position, its speed is 20 cm/s. When the point has a speed of 10 cm/s, its acceleration has a magnitude of 40√3 cm/s². The amplitude of the point oscillation is", 2 cm., 4 cm., 5 cm., 6 cm., C, Physics 12
" An object oscillates harmonically with a period of 2 s and an amplitude of 10 cm. When the object is 5 cm from the equilibrium position, its speed is equal to", 27.21 cm., 30.22 cm., 55.13 cm., 62.05 cm., A, Physics 12
" An object oscillates according to the equation x=4.cos(πt/6) (t is measured in seconds). At time t1, the displacement is 2√3 cm and is decreasing. Calculate the displacement after time t1 is 3 (s).", 1.2 cm., -3 cm., -2 cm., 5 cm., C, Physics 12
 An object oscillates harmonically with amplitude A and angular frequency ω. The origin of time is chosen to be the moment when the object passes through a position with positive coordinates and a velocity of −ωA2. The oscillation equation of the object is, x=Acos(ωt+π/12)cm, x=Acos(ωt+π/6)cm, x=Acos(ωt+5π/6)cm, x=Acos(ωt+2π/5)cm, B, Physics 12
 The object oscillates with a maximum velocity of 3 m/s and a maximum acceleration of 30π. At t = 0 the object has a velocity of 1.5 m/s and the potential energy is decreasing. After what shortest time does the object have an acceleration of -15π?, 0.01 s., 0.02 s., 0.05 s., 0.15 s., A, Physics 12
" point oscillates harmonically according to the equation x = 6 cos(2πt + π/4), where x is in centimeters (cm) and t is in seconds (s). Only consider the times when the point passes through the position with displacement x = -3 cm in the positive direction. The 10th time is", t = 229/24 s, t = 125/24 s, t = 22/15 s, t = 37/15 s, A, Physics 12
" A harmonic oscillation x=Acos(ωt−π/3), after time the object returns to the original position and travels a distance of 8 cm. Find the distance traveled in the 2013th second.", 2 cm., 4 cm., 8 cm., 16 cm., D, Physics 12
" An object oscillates harmonically along the equation x=5cos(2π/3t-π/3)(c)m. From time t = 0, after how long will the object travel a distance of 7.5 cm?", 1 s., 1.25 s., 3.32 s., 4.15 s., B, Physics 12
