Question,A,B,C,D,Answer,Grade,retained
Câu nào đúng?,Tốc độ dài của chuyển động tròn đều phụ thuộc vào bánh kính quỹ đạo.,Tốc độ góc của chuyển động tròn đều phụ thuộc vào bán kính quỹ đạo.,"Với v và $\omega$ cho trước, gia tốc hướng tâm phụ thuộc vào bán kính quỹ đạo.","Với v và $\omega$ cho trước, gia tốc hướng tâm không phụ thuộc vào bán kính quỹ đạo.",C,Vật lý 10,True
Định luật I Niutơn xác nhận rằng:,Với mỗi lực tác dụng đều có một phản lực trực đối.,Vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều khi nó không chịu tác dụng của bất cứ vật nào khác,Khi hợp lực tác dụng lên một vât bằng không thì vật không thể chuyển động được.,Do quán tính nên mọi vật đang chuyển động đều có xu hướng dừng lại.,B,Vật lý 10,True
Khi một vật chỉ chịu tác dụng của một vật khác duy nhất thì nó sẽ:,Chỉ biến dạng mà không thay đổi vận tốc.,Chuyển động thẳng đều mãi mãi.,Chuyển động thẳng nhanh dần đều.,Bị biến dạng và thay đổi vận tốc cả về hướng lẫn độ lớn.,D,Vật lý 10,True
Hệ thức của định luật vạn vật hấp dẫn là:,$F_{hd} = G.\frac{m_1.m_2}{r^2}$,$F_{hd} = \frac{m_1.m_2}{r^2}$,$F_{hd} = G.\frac{m_1.m_2}{r}$,$F_{hd} = G.\frac{m_1.m_2}{r^2}$,A,Vật lý 10,True
Công thức tính tầm ném xa của vật ném ngang là:,$L = v_0.\sqrt{\frac{2h}{g}}$,$L = v_0.\sqrt{\frac{h}{g}}$,$L = v_0.\sqrt{2h}$,$L = v_0.\sqrt{2g}$,A,Vật lý 10,True
Một người có trọng lượng 500N đứng trên mặt đất. Lực mà mặt đất tác dụng lên người đó có độ lớn là :,bằng 500N.,bé hơn 500N.,lớn hơn 500N.,phụ thuộc vào gia tốc trọng trường g,C,Vật lý 10,True
"Một máy bay ngang với tốc độ 150 m/s, ở độ cao 490m thì thả một gói hàng xuống đất. Lấy $g = 9,8m/s^2$ . Tấm bay xa của gói hàng là :",1000m.,1500m.,15000m.,7500m.,B,Vật lý 10,True
Biểu thức mômen của lực đối với một trục quay là,$M = Fd$,$M = \frac{F}{d}$,$\frac{F_1}{d_1} = \frac{F_2}{d_2}$,$F_1.d_1 = F_2.d_2$,A,Vật lý 10,True
Dạng cân bằng của nghệ sĩ xiếc đang đứng trên dây là :,Cân bằng bền.,Cân bằng không bền.,Cân bằng phiến định.,Không thuộc dạng cân bằng nào cả.,B,Vật lý 10,True
"Một vật đang quay quanh một trục với tốc độ góc $\omega = 6,28$ rad/s( Bỏ qua ma sát). Nếu mômen lực tác dụng lên nó mất đi thì:",vật dừng lại ngay.,vật đổi chiều quay.,"vật quay đều với tốc độ góc $\omega = 6,28$ rad/s.",vật quay chậm dần rồi dừng lại.,C,Vật lý 10,True
Chọn phát biểu đúng. Khi vật rắn không có trục quay cố định chịu tác dụng của mômen ngẫu lực thì vật sẽ quay quanh,trục đi qua trọng tâm.,trục nằm ngang qua một điểm.,trục thẳng đứng đi qua một điểm.,trục bất kỳ.,A,Vật lý 10,True
Động lượng của một vật khối lượng m đang chuyển động với vận tốc là đại lượng được xác định bởi công thức :,$\vec{p} = m.\vec{v}$,$p = m.v$,$p = m.a$,$\vec{p} = m. \vec{a}$,A,Vật lý 10,True
Một người chèo thuyền ngược dòng sông. Nước chảy xiết nên thuyền không tiến lên được so với bờ. Người ấy có thực hiện công nào không? vì sao?,"có, vì thuyền vẫn chuyển động.","không, vì quãng đường dịch chuyển của thuyền bằng không.",có vì người đó vẫn tác dụng lực.,"không, thuyền trôi theo dòng nước.",B,Vật lý 10,True
"Khi khoảng cách giữa các phân tử rất nhỏ, thì giữa các phân tử",chỉ có lực đẩy.,"có cả lực hút và lực đẩy, nhưng lực đẩy lớn hơn lực hút.",chỉ lực hút.,"có cả lực hút và lực đẩy, nhưng lực đẩy nhỏ lực hút",B,Vật lý 10,True
Phương trình trạng thái của khí lí tưởng:,$\frac{pV}{T} = hằng số$,$PV ~ T $,$\frac{pT}{V} = hằng số$,$frac{P}{T} = hằng số$,A,Vật lý 10,True
Câu nào sau đây nói về lực tương tác phân tử là không đúng?,Lực phân tử chỉ đáng kể khi các phân tử ở rất gần nhau.,Lực hút phân tử có thể lớn hơn lực đẩy phân tử,Lực hút phân tử không thể lớn hơn lực đẩy phân tử.,Lực hút phân tử có thể bằng lực đẩy phân tử,C,Vật lý 10,True
"Trong hệ toạ độ (p,T) đường biểu diễn nào sau đây là đường đẳng tích?",Đường hypebol.,Đường thẳng kéo dài thì đi qua gốc toạ độ.,Đường thẳng kéo dài thì không đi qua gốc toạ độ.,Đường thẳng cắt trục p tại điểm $p = p_0$,B,Vật lý 10,True
Trường hợp nào sau đây không áp dụng phương trình trạng thái khí lí tưởng,Nung nóng một lượng khí trong một bình đậy kín.,Dùng tay bóp lõm quả bóng .,"Nung nóng một lượng khí trong một xilanh làm khí nóng lên, dãn nở và đẩy pittông dịch chuyển.",Nung nóng một lượng khí trong một bình không đậy kín.,D,Vật lý 10,True
"Đọc đoạn văn sau và trả lời câu hỏi Lúc nhàn rỗi Trương Bạch đã làm gì? : BÀN TAY NGƯỜI NGHỆ SĨ

Ngay từ nhỏ, Trương Bạch đã rất yêu thích thiên nhiên. Lúc nhàn rỗi, cậu nặn những con giống bằng đất sét trông y như thật. Lớn lên, Trương Bạch xin đi làm ở một cửa hàng đồ ngọc. Anh say mê làm việc hết mình, không bao giờ chịu dừng khi thấy những chỗ cần gia công tinh tế mà mình chưa làm được. Sự kiên nhẫn, sáng tạo của Trương Bạch khiến người dạy nghề cũng phải kinh ngạc. Một hôm có người mang một khối ngọc thạch đến và nhờ anh tạc cho một pho tượng Quan Âm. Trương Bạch tự nhủ sẽ gắng công tạo nên một tác phẩm tuyệt trần, mĩ mãn.

Pho tượng làm xong, quả là một tác phẩm trác tuyệt. Từ dung mạo đến dáng vẻ của Quan Âm đều toát lên sự ung dung và cực kì mĩ lệ. Điều vô cùng lí thú là pho tượng sống động đến lạ lùng, giống như một người sống vậy. Nếu đi một vòng xung quanh pho tượng, đôi mắt Quan Âm như biết nhìn theo. Hiển nhiên đây là điều không thể nào tưởng tượng nổi.

Theo Lâm Ngũ Đường",Nặn những con giống bằng đất sét.,Tạc những pho tượng.,Nặn những con giống bằng đất màu.,Làm các đồ thủ công.,A,Ngữ văn 4,True
"Đọc đoạn văn sau và trả lời câu hỏi Khuân mặt của cậu bé có điều gì đặc biệt?: 
TÀN NHANG

Trong một góc công viên, rất nhiều trẻ con đang xếp hàng chờ đợi một họa sĩ trang trí lên trên mặt để trở thành những “người da đỏ” hay “người ngoài hành tinh”,.... Một cậu bé cũng nắm tay bà chờ đến lượt mình. Mặt cậu bé rất nhiều đốm tàn nhang nhỏ, nhưng đôi mắt thì sáng lên vì háo hức.

 - Cậu lắm tàn nhang thế, làm gì còn chỗ nào trên mặt mà vẽ! - Cô bé xếp hàng sau cậu bé nói to.

Ngượng ngập, cậu bé cúi gầm mặt xuống. Thấy vậy, bà cậu cũng ngồi xuống bên cạnh: “Sao cháu buồn thế? Bà yêu những đốm tàn nhang của cháu mà! Hồi còn nhỏ, lúc nào bà cũng mong có tàn nhang đây"".

Rồi bà cụ đưa những ngón tay nhăn nheo vuốt má cậu bé: Tàn nhang cũng xinh lắm, chắc chắn chú họa sĩ sẽ thích những vệt tàn nhang của cháu!"".

Cậu bé mỉm cười.

- Thật không bà?

Thật chứ! - Bà cậu đáp.. Đây, cháu thử tìm xem thứ gì đẹp hơn những đốm tàn nhang.

Cậu bé nhìn bà, suy nghĩ một chút rồi thì thầm:

- Những nếp nhăn, bà ạ!",Khuân mặt rất trắng.,Khuân mặt của cậu bé có rất nhiều mụn,Có một vết sẹo lớn trên mặt,Khuân mặt có nhiều đốm tàn nhang nhỏ,D,Ngữ văn 4,True
"Đọc đoạn văn sau và trả lời câu hỏi Màu hạ trong tâm trí của tác giả là mùa như thế nào?: 
TIẾNG SÁO DIỀU

Không biết tự bao giờ, mùa hạ đã in đậm trong tôi. Đó là mùa của những cánh diều no gió, mùa của những tâm hồn khát vọng tuổi thơ.

Mỗi buổi chiều, khi những tia nắng chói chang tắt dần cũng là lúc tụi trẻ chúng tôi ùa ra cánh đồng, tung lên trời những cánh diều nhỏ. Xếp lại những lo toan bài vở, chúng tôi đau đáu nhìn theo những cánh diều trên bầu trời cao rộng. Thả điều trong buổi chiều lộng gió, được lắng nghe tiếng sáo vi vu hòa lẫn tiếng reo hò của bọn trẻ. Chẳng có bản nhạc của một nghệ sĩ thiên tài nào có thể so sánh nổi bản nhạc ấy của đồng quê. Tiếng sáo ấy trong và thanh như tiếng gọi của mùa hè, tiếng gọi của những tâm hồn đi tìm về kí ức tuổi thơ.

Tôi xa cánh điều tuổi thơ đã khá lâu.. Tiếng sáo diều vẫn len lỏi trong từng giấc mơ tôi, gợi về một miền kí ức.

Một mùa hè lại đến. Tôi khoác ba lộ về thăm quê với tiếng sáo diều giục giã. Tôi bắt gặp hình ảnh những cậu bé đang mải mê với nan tre uốn cánh diều giống tôi ngày trước. Bất chợt, tiếng sáo diều vút lên ngân nga trên cánh đồng yên ả khiến tôi sững người. Tôi đã nhận ra bao điều trong tiếng sáo ấy... Ôi. sáo diều... có lẽ sẽ theo tôi suốt cả cuộc đời này...","Đó là mùa của những loại trái cây thơm, ngon.",Đó là mùa của tiếng hát ru mỗi buổi trưa hè,Đó là mùa với những kỉ niệm chơi đùa cũng các bạn trên cánh đồng lộng gió,"Đó là mùa của những cánh diều no gió, của những tâm hồn khát vọng tuổi thơ.",D,Ngữ văn 4,True
"Nội dung của văn bản Nguyễn Đình Chiểu, ngôi sao sáng trong văn nghệ của dân tộc là:",Ca ngợi tài năng của thơ văn của Nguyễn Đình Chiểu,"Liệt kê những tác phẩm nổi tiếng, có giá trị của Nguyễn Đình Chiểu để lại trong kho tàng văn học Việt Nam.",Đánh giá tài năng nghệ thuật xuất chúng của tác giả Nguyễn Đình Chiểu,Nhìn nhận cuộc đời và thơ văn Nguyễn Đình Chiểu trong mối liên hệ khăng khít với hoàn cảnh của Tổ quốc lúc bấy giờ và với thời đại hiện nay. ,D,Ngữ Văn 12,True
"Cho đoạn văn sau
Những phát hiện của nhà khảo cổ nước ta chứng tỏ Việt Nam xưa kia đã từng là nơi sinh sống của người vượn. Năm 1960 tìm thấy ở núi Đọ (Thiệu Hóa, Thanh Hóa) nhiều hạch đá, mạnh tước, rìu tay có tuổi 40 vạn năm. Cùng năm đó phát hiện ở núi Voi, cách núi Đọ 3 km, một di chỉ xương (vừa là nơi cư trú, vừa là nơi chế tạo công cụ) của người vượn, diện tích 16 vạn m2. Ở Xuân Lộc (Đồng Nai) cũng đã tìm thấy công cụ đá của người vượn.

Ý nào sau đây không phù hợp khi nói về tính lí trí,logic được thể hiện qua đoạn văn trên","Câu đầu nêu luận điểm khái quát, các câu sau nêu luận cứ đều là các tư liệu thực tế.","Mỗi câu văn là một đơn vị cung cấp thông tin, thông tin chính xác, có nguồn gốc dựa trên những chứng cứ khoa học",Các câu văn chuẩn về ngữ pháp.,Các thông tin đưa ra được lựa chọn nhằm kích thích trí tò mò của người đọc.,D,Ngữ Văn 12,True
Yếu tố nào sau đây chi phối tới nội dung của bài thơ “ Tây Tiến “ ?,Tây tiến là đơn vị quân đội thành lập năm 1947 mà chiến sĩ phần đông là thanh niên Hà Nội,Địa bàn hoạt động của đơn vị Tây Tiến là biên giới Việt-Lào,Lính Tây Tiến chiến đấu trong hoàn cảnh hết sức gian khổ thiếu thốn.,Quang Dũng đã làm đại đội trưởng ở đơn vị Tây Tiến rồi chuyển sang đơn vị khác.,B,Ngữ Văn 12,True
"Hai chữ ""về đất"" trong câu: ""Áo bào thay chiếu anh về đất"" không gợi ý liên tưởng nào sau đây?",Sự hi sinh âm thầm không ai biết đến.,"Sự thanh thản, ung dung của người lính sau khi đã tận trung với nước.",Cách nói giảm để tránh sự đau thương.,Sự hi sinh của người lính là hóa thân vào non sông đất nước.,A,Ngữ Văn 12,True
"Trong bài thơ Việt Bắc của Tố Hữu, nỗi nhớ Việt Bắc được so sánh với:",Nhớ người yêu,Nhớ cha mẹ,Nhớ bạn bè,Tất cả đều đúng,A,Ngữ Văn 12,True
Trong số các hình ảnh sau đây trong bài thơ hình ảnh nào chưa gợi rõ nét riêng của con người Việt Bắc?,Dân công đỏ đuốc.,Người mẹ đưa con lên rẫy.,Cô gái hái măng một mình.,Con người trên đèo cao với dao cài thắt lưng,A,Ngữ Văn 12,True
Nhận xét nào sau đây không chính xác về Chế Lan Viên?,"Thơ của ông chú trọng về nhạc điệu, ông đã khởi đầu một lối thơ chỉ dùng toàn vần bằng.","Ông tên thật là Phan Ngọc Hoan, sinh năm 1920 tại Cam An, Cam Lộ, Quảng Trị.","Phong cách thơ Chế Lan Viên rất rõ nét và độc đáo, nổi bật nhất là ""chất suy tưởng triết lí mang vẻ đẹp trí tuệ và sự đa dạng, phong phú của hình ảnh thơ được sáng tạo bởi một ngòi bút thông minh, tài hoa.","Sau Cách mạng, thơ ông đã ""đến với cuộc sống nhân dân và đất nước, thấm nhuần ánh sáng của cách mạng"" và có những thay đổi rõ rệt.",A,Ngữ Văn 12,True
"Đánh giá nào sau đây là hợp lí khi nhà thơ Xuân Quỳnh trong bài thơ Sóng ước muốn được ""Thành trăm con sóng nhỏ""?","Ước muốn vì tuyệt vọng, bất lực trước giới hạn của con người.",Ước muốn thành con sóng để trốn đi kiếp người đau khổ.,"Ước muốn của người có tình yêu lớn, muốn được trường tồn với tình yêu.","Ước muốn viễn vông, phi thực tế.",C,Ngữ Văn 12,True
"Trong câu thơ “Bác đã đi rồi sao, Bác ơi!”, nhà thơ đã sử dung biện pháp tu từ gì? ",Nói quá.,Ẩn dụ.,Nhân hóa.,"Nói giảm, nói tránh.",D,Ngữ Văn 12,True
"Trong tùy bút Người lái đò sông Đà, Nguyễn Tuân khẳng định tài nguyên quý nhất của Tây Bắc là gi?",Các mỏ quặng dưới lòng đất.,Dòng nước Sông Đà.,Các cánh rừng hai bên bờ sông.,Con người bản địa và con người miền xuôi lên góp phần xây dựng Tây Bắc.,D,Ngữ Văn 12,True
"Nhà thơ nào không được nhắc đến trong văn bản Ai đã đặt tên cho dòng sông? khi tác giả nói về sông Hương như một ""dòng thi ca"" trong lịch sử văn học dân tộc?",Tố Hữu,Cao Bá Quát,Huy Cận,Tản Đà,C,Ngữ Văn 12,True
Dòng nào nêu đúng mạch cấu trúc nội dung của văn bản Ai đã đặt tên cho dòng sông? (sách Ngữ văn 12)?,"Văn bản miêu tả dòng sông Hương với những đặc điểm địa lí cụ thể, gắn bó chặt chẽ với đời sống sinh hoạt vật chất và tinh thần của người dân thành phố Huế.","Văn bản miêu tả dòng sông Hương ở hai trạng thái cơ bản: mãnh liệt, dữ dội đầy sức mạnh ở thượng lưu và êm đềm, dịu dàng, trầm mặc khi xuôi về đồng bằng và nhất là khi vào thành phố Huế.","Văn bản miêu tả dòng sông Hương theo suốt dọc thủy trình của nó (lúc ở thượng nguồn, khi xuôi về đồng bằng và ngoại thành Huế, vào thành phố Huế và rời khỏi Huế) đồng thời tái hiện dòng sông trong lịch sử và thi ca của dân tộc.","Văn bản tái hiện hình ảnh dòng sông Hương từ khởi nguồn của nó cho đến lúc trở thành một dòng sông lớn, gắn bó mật thiết và trở thành một biểu tượng của thành phố Huế.",C,Ngữ Văn 12,True
Việt Bắc là bài thơ đậm đà tính dán tộc bởi những yếu tố nào ?,"Phát huy thế mạnh cùa thơ lục bát, cấu tứ của ca dao, nhạc điệu của tiếng Việt, phép trùng điệp của ngôn ngữ dân gian.",Giai điệu trữ tình nghe tha thiết ngọt ngào như âm hưởng cùa lời ru. ,"Nhịp thơ uyển chuyển cân xứng hài hoà, dễ thuộc, dễ nhớ.",Sử dụng sáng tạo đại từ Ta - Mình đưa người đọc vào không gian cùa kỉ niệm ân tình.,A,Ngữ Văn 12,True
"Trong luật thơ Việt Nam, thanh trắc gồm:","Thanh huyền, thanh sắc, thanh hỏi, thanh nặng","Thanh ngã, thanh hỏi, thanh ngang, thanh huyền","Thanh sắc, thanh hỏi, thanh ngã, thanh nặng","Thanh huyền, thanh nặng, thanh ngã, thanh ngang",C,Ngữ Văn 12,True
Điều gì đã đánh thức khát vọng sống hạnh phúc tưởng như đã chết trong tâm hồn của Mị?,Bát rượu ngày xuân mà Mị uống.,Hình ảnh A Sử đi chơi.,Tiếng sáo gọi bạn tình.,Tiếng sáo gọi bạn tình.,C,Ngữ Văn 12,True
Nỗi đau khổ lớn nhất  mà Mị phải chịu đựng là gì?,Phải làm lụng cơ cực để trả món nợ truyền kiếp của cha mẹ.,"Bị cướp mất tuổi trẻ, tình yêu tự do, quyền làm người.",Phải trải qua cuộc sống giam hãm như tù ngục ở nhà thống lí Pá Tra.,"Bị hành hạ, đày đoạ, vùi dập tàn bạo.",B,Ngữ Văn 12,True
Nhận định nào sau đây là đúng với đặc điểm phong cách nghệ thuật của Tô hoài?,"Màu sắc dân tộc đậm đà, chất thơ chất chữ tình thấm đượm, ngôn ngữ và lời văn giàu tính tạo hình.","Thể hiện một sự nhạy bén và cách khám phá riêng của nhà văn với các vấn đề xã hội, giàu tính chính luận triết lí.","Tài hoa uyên bác, ý tưởng sâu sắc, diễn đạt độc đáo, chữ nghĩa giàu có và giàu tính tạo hình.",Văn phong vừa đậm chất trí tuệ vừa hiện đại,A,Ngữ Văn 12,True
Kết thúc truyện ngắn Vợ nhặt của Kim Lân là hình ảnh,"tiếng trống thúc thuế dồn dập, xoáy vào nỗi tuyệt vọng của mọi người.",đàn quạ lượn thành từng đàn như những đám mây đen trên bầu trời.,"bữa cháo cám chát đắng, nghẹn ứ trong cổ và nỗi tủi hờn hiện ra trên nét mặt mọi người.",đám người đói và lá cờ đỏ bay phấp phới vẫn ám ảnh trong óc Tràng.,D,Ngữ Văn 12,True
Truyện Rừng xà nu sáng tác năm nào?,1960,1965,1970,1972,B,Ngữ Văn 12,True
Chi tiết nào sau đây không nói lên số phận chịu nhiều đau thương của Tnú - nhân vật chính trong tác phẩm Rừng xà nu của Nguyễn Trung Thành?,Đập đầu vào đá khi không thuộc được chữ.,Cha mẹ chết sớm.,Vợ con đều chết.,Nhiều vết thương trên thân thể.,C,Ngữ Văn 12,True
"Ở tòa án, khi chánh án Đẩu nhắc tới thằng Phác, người đàn bà hàng chài đã có phản ứng thế nào?",bật khóc khi nghe chánh án Đẩu nhắc tới thằng con.,"bật dậy, chạy ra khỏi tòa án.","chỉ im lặng, cúi đầu và không nói gì.",phản ứng mạnh mẽ với vị chánh án.,A,Ngữ Văn 12,True
"Ở tòa án, khi gặp chánh án Đẩu, người đàn bà hàng chài đã van xin điều gì?",Xin tha tội cho người chồng vũ phu.,Xin giúp đỡ cho hoàn cảnh éo le của mình.,"Xin quý tòa xét xử công bằng, cho lão chồng độc ác vào tù.",Xin quý tòa không bắt phải bỏ người chồng vũ phu của mình.,D,Ngữ Văn 12,True
Vì sao sau nhiều nghề nhưng sau cùng Lỗ Tấn đã chọn nghề viết văn?,Vì muốn nhanh chóng có tên tuổi.,Vì muốn kiếm được thật nhiều tiền của.,Vì Chữa bệnh thể xác không quan trọng bằng chữa bệnh tinh thần.,Vì đam mê nghệ thuật,C,Ngữ Văn 12,True
"Màn đối thoại giữa Hồn Trương Ba và Đế Thích ở cuối đoạn trích, toát lên ý nghĩa gì?",Người và thần tiên luôn luôn bất đồng quan điểm sống,Cuộc nói chuyện giữa người thường và thần tiên.,Cuộc tranh luận về sự sống và cái chết.,"Khát vọng sống đẹp, khát vọng tự giải phóng cho tâm hồn thanh cao của Hồn Trương Ba. Đó là khát vọng tự hoàn thiện nhân cách",D,Ngữ Văn 12,True
Nhận xét nào dưới đây là đúng nhất khi nói về nhân vật Trương Ba?,"Người làm vườn- người chồng, người bố, người ông hiền hậu, cao quý.",Người sống dựa dẫm vào con cháu.,"Người chồng, người cha vũ phu.","Người nông dân thiển cận, ít suy nghĩ.",A,Ngữ Văn 12,True
Thế nào là phát biểu tự do?,"Trong cuộc sống, người ta có thể gặp những tình huống khiến mình muốn (hoặc cần thiết) phát biểu không theo các nội dung đã chuẩn bị kĩ càng từ trước.","Trình bày bằng miệng có nội dung đã chuẩn bị, được báo trước hướng vào một đề tài (phạm vi) hoặc chủ đề nào đó (nội dung cuộc sống, những vấn đề cuộc sống đặt ra).",Trình bày bằng miệng và các công cụ trình chiếu thêm về một chủ đề do mình lựa chọn trước.,Tất cả các ý kiến trên.,A,Ngữ Văn 12,True
"Truyện ngắn ""Số phận con người"" được sáng tác năm:",1925,1957,1926,1965,B,Ngữ Văn 12,True
"Vì sao Xô-cô-lốp lại nói: ""Tôi đã chôn trên đất người, đất Đức, niềm vui sướng và niềm hi vọng cuối cùng của tôi""?","Người chiến sĩ Hồng quân Xô-cô-lốp đã chịu trăm nghìn cay đắng, chiến đấu chừng một năm anh bị thương nhẹ hai lần, vào tay và chân. Tiếp đó là hai năm bị đoạ đầy trong các trại tù binh Đức. ""Cứ nhớ tới cực hình vô nhân đạo phải chịu ở bên Đức, cứ nghĩ tới bạn bè, đổng chí đã bỏ mình vì bị hành hạ trong trại tập trung, thì tim tôi không còn trong lồng ngực nữa mà nhảy lên đập ở cuống họng và tôi thấy ngạt thở’’.","Năm 1944, sau khi thoát khỏi cảnh nô lệ tù binh, An-đrây Xổ-cô-lốp được biết một tin đau đớn: ngay từ tháng 6 năm 1942, vợ và hai con gái anh đã bị bom của bọn phát xít giết hại. Trở vể thăm xóm thợ, Xô-cô-lốp thấy ngôi nhà êm ấm xưa kia của gia đình giờ đây chi còn là một hố bom.","Để chiến thắng phát xít Đức, 25 triệu người Xô-viết, non một phần mười dân số thời đó đã hi sinh. Chỉ khoảng ba phần trăm thanh niên từ măt trận trở về. Vì độc lập dân tộc và sự sống còn của nhân dân, Xô-cô-lốp đã-chịu đựng những mất mát ghê gớm.","Niềm hi vọng cuối cùng giúp anh bám víu vào cuộc đời này là A-na-tô-ni, chú học sinh giỏi toán, đại uý pháo binh, đứa con trai yêu quý đang cùng anh tiến đánh Béc-lin. Và hi vọng cuối cùng đó cũng bị dập tắt: “Đúng sáng ngày mông chín tháng năm, ngày Chiến thắng, một thằng thiện xạ Đức đã giết chết mất A- na-tô-ni cùa tôi...”.",D,Ngữ Văn 12,True
"Để Ban giám đốc nắm được tình hình sản xuất, các phân xưởng hàng tháng phải viết và gửi lên Ban giám đốc loại văn bản nào?",Thông báo,Tường trình ,Kiến nghị,Báo cáo,D,Ngữ Văn 12,True
Quan hệ vị thế là:,Quan hệ giữa những người có địa vị cao với người có địa vị thấp.,Quan hệ giữa người có địa vị thấp với người có địa vị cao.,Quan hê giữa những người ngang hàng với nhau về địa vị xã hội,Tất cả các kiểu quan hệ trên,C,Ngữ Văn 12,True
"Lòng các chú tốt, nhưng các chú đâu có phải là người làm ăn…cho nên các chú đâu có hiểu được cái việc của các người làm ăn lam lũ, khó nhọc…” là của nhân vật nào?",Người chồng vũ phu.,Người đàn bà hàng chài.,Nghệ sĩ Phùng.,Thằng Phác,B,Ngữ Văn 12,True
"Ý nghĩa của hình ảnh: “Ở cái buồng Mị nằm, kín mít, có một chiếc cửa sổ một lỗ vuông bằng bàn tay. Lúc nào trông ra cũng chỉ thấy trăng trắng, không biết sương hay là nắng” được Tô Hoài miêu tả là",Qua không gian sống để tô đậm nỗi khổ của nhân vật.,cho thấy Mị phải sống kiếp tù nhân và mất dần ý thức của con người.,Lên án sự đối sử tàn nhẫn của nhà thống lí đối với Mỵ.,Cho thấy Mị không hề hưởng một chút gì hạnh phúc.,B,Ngữ Văn 12,True
"Bài ""Thư gửi các học sinh"" do ai viết?",Võ Nguyên Giáp,Bác Hồ,Nguyễn Thị Minh Khai,Phạm Văn Đồng,B,Ngữ Văn 5,True
Trong thư Bác Hồ đã tưởng tượng ra các bạn học sinh trong ngày đầu khai trường của nước Việt Nam độc lập như thế nào?,"Các bạn học sinh e sợ, rụt rè khi lần đầu tiên tới lớp mới, trường mới",các bạn học sinh khóc lóc vì phải xa bố mẹ tới ngôi trường mới,"cảnh tượng nhốn nháo, lạc quan, các bạn học sinh òa khóc trong vòng tay thầy cô, bè bạn","cảnh tượng nhộn nhịp, tưng bừng, các bạn học sinh vui vẻ vì sau bao nhiêu lâu, bao cuộc chuyển biên lại được gặp thầy gặp bạn.",D,Ngữ Văn 5,True
"Trong từ Tổ quốc, tiếng quốc có nghĩa là nước, từ ""quốc"" nào dưới đây cũng có nghĩa tương tự như vậy?",Quốc gia,Bạn Quốc ,Quốc Cơ,Quốc Nghiệp,A,Ngữ Văn 5,True
Từ trái nghĩa với hòa bình là:,yên bình,thanh bình,chiến tranh,yên lặng,C,Ngữ Văn 5,True
"Phá hoại, hủy bỏ, phá bỏ... là những từ trái nghĩa với từ:",hòa bình,giữ gìn,đoàn kết,thương yêu,B,Ngữ Văn 5,True
"Dưới chế độ a-pác-thai, người da đen bị đối xử như thế nào?",Người da đen bị đối xử vô cùng thậm tệ.,"Họ phải làm những công việc nặng nhọc, bẩn thỉu nhưng đồng Lương thì quá thấp, chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng.","Họ phải sống và chữa bệnh, đi học ở những khu riêng, không được hưởng một chút tự do dân chủ nào.",Tất cả các ý trên.,D,Ngữ Văn 5,True
"Trong các câu sau, câu nào từ lưỡi được dùng với nghĩa gốc?","Lưỡi dao này rất sắc, cẩn thận kẻo bị đứt tay",Lưỡi rìu vung lên chỉ ba nhát là cái cây đã đổ ầm xuống đất,"Khi làm vệ sinh cá nhân buổi sáng, đánh răng xong đừng quên vệ sinh lưỡi.",Bất thình lình một lưỡi gươm chĩa ngay về phía anh ấy.,C,Ngữ Văn 5,True
"Theo Quý, cái gì là quý nhất và bạn đã đưa ra lỹ lẽ gì để bảo vệ ý kiến của mình?",Quý nhất là con người vì theo Qúy chỉ cần có con người với bộ não thông minh và sức mạnh của mình thì sẽ làm ra được mọi thứ,Quý nhất là thời gian vì theo Quý thầy giáo thường nói thì giờ quý hơn vàng bạc. Có thì giờ thì sẽ làm ra được mọi thứ,quý nhất là sức khỏe vì theo Qúy chỉ cần khỏe mạnh thì có thể làm ra được mọi thứ,"quý nhất là vàng vì theo Quý ai cũng nói quý như vàng, có vàng là có tiền mua được lúa gạo.",D,Ngữ Văn 5,True
"Theo Nam, cái gì là quý nhất và bạn đã đưa ra lý lẽ gì để bảo vệ ý kiến của mình?","Quý nhất là thì giờ, vì theo Nam thì giờ là thứ tồn tại duy nhất trên đời mà con người không thể kiểm soát được.","Quý nhất là thì giờ, vì theo Nam thầy giáo thường nói thì giờ quý hơn vàng bạc. Có thì giờ thì sẽ làm ra được lúa gạo, vàng bạc.","Quý nhất là thì giờ, vì theo Nam hằng ngày ai cũng bị thời gian chi phối, phải hoạt động hết sức để 24 giờ trong ngày không trôi qua lãng phí.","Quý nhất là thì giờ, vì theo Nam thì giờ là thứ tôn tại bất biến, không bao giờ biến mất, ai cũng phải trân trọng.",B,Ngữ Văn 5,True
Điền quan hệ từ thích hợp vào chỗ chấm: Gia đình hoàn cảnh rất khó khăn .... Hằng vẫn cố gắng học tập thật tốt.,nên,vì ,nhưng,và,C,Ngữ Văn 5,True
Nhiệm vụ của phần thân bài trong bài văn tả người là gì?,Kể lại diễn biến câu chuyện,Tả ngoại hình,"Tả tính tình, hoạt động",B và C đều đúng,D,Ngữ Văn 5,True
"Trong các từ dưới đây, từ nào là tính từ:",cầm,nắm,đổ,vất vả,D,Ngữ Văn 5,True
"Trong các từ dưới đây, từ nào là động từ:",chạy,vời vợi,xa ,lơn,A,Ngữ Văn 5,True
