Question,A,B,C,D
Tính chất của lực lượng sản xuất là gì?,Tính chất hiện đại và tính chất cá nhân,Tính chất cá nhân và tính chất xã hội hoá,Tính chất xã hội hoá và tính chất hiện đại,Tính chất xã hội và tính chất hiện đại
"Trong các yếu tố của lực lượng sản xuất thì yếu tố nào là cơ bản, quan trọng nhất?",Công cụ lao động,Khoa học công nghệ,Người lao động,Đối tượng lao động
Quan hệ sản xuất là gì?,Quan hệ giữa người và người về kinh tế – kỹ thuật,"Quan hệ giữa người và người trong sản xuất, trao đổi sản phẩm",Quan hệ sản xuất là hình thức xã hội của quá trình sản xuất vật chất,Quan hệ giữa người và người trong tổ chức quản lý sản xuất
Trình độ phát triển của lực lượng sản xuất thể hiện năng lực gì của con người?,Trình độ nhận thức thế giới khách quan,Trình độ lý luận chính trị xã hội,Trình độ chinh phục tự nhiên,Trình độ tự ý thức về bản thân mình
Phạm trù nào thể hiện mối quan hệ giữa con người và tự nhiên trong quá trình sản xuất?,Phương thức sản xuất,Quan hệ sản xuất,Lực lượng sản xuất,Tư liệu sản xuất
Phạm trù nào thể hiện mối quan hệ giữa người và người trong quá trình sản xuất?,Phương thức sản xuất,Quan hệ sản xuất,Lực lượng sản xuất,Tư liệu sản xuất
Chọn câu sai trong các câu sau đây:,Quan hệ sản xuất thể hiện mối quan hệ giữa người và người trong quá trình sản xuất,Quan hệ sản xuất bao gồm quan hệ sở hữu tư liệu sản xuất và quan hệ tổ chức quản lý sản xuất,"Quan hệ sản xuất bao gồm quan hệ sở hữu tư liệu sản xuất, quan hệ tổ chức quản lý sản xuất và quan hệ phân phối sản phẩm",Quan hệ sản xuất phù hợp với tính chất và trình độ của lực lượng sản xuất sẽ thúc đẩy sản xuất phát triển
Chọn câu sai trong các câu sau đây :,Lực lượng sản xuất sản xuất thể hiện mối quan hệ giữa người và người trong quá trình sản xuất,Lực lượng sản xuất thể hiện mối quan hệ giữa người và tự nhiên trong quá trình sản xuất,Lực lượng sản xuất có vai trò quyết định trong mối quan hệ biện chứng với quan hệ sản xuất,Lực lượng sản xuất bao gồm người lao động và tư liệu sản xuất
Chọn câu sai trong các câu sau đây:,Phương thức sản xuất là thể thống nhất giữa lực lượng sản xuất và quan hệ sản xuất,Phương thức sản xuất là phương pháp và cách thức tiến hành sản xuất của cải vật chất trong một giai đoạn phát triển nhất định của lịch sử,Trong một phương thức sản xuất thì lực lượng sản xuất giữ vai trò quyết định tính chất và trình độ của quan hệ sản xuất,Trong một phương thức sản xuất thì quan hệ sản xuất giữ vai trò quyết định tính chất và trình độ của lực lượng sản xuất
Chọn câu sai trong các câu sau đây:,Trong quan hệ sản xuất thì quan hệ sở hữu tư liệu sản xuất quyết định các quan hệ khác,Trong quan hệ sản xuất thì quan hệ tổ chức quản lý sản xuất quyết định các quan hệ khác,"Quan hệ sản xuất bao gồm quan hệ sở hữu tư liệu sản xuất, quan hệ tổ chức quản lý sản xuất và quan hệ phân phối sản phẩm",Quan hệ sản xuất phù hợp với tính chất và trình độ của lực lượng sản xuất sẽ thúc đẩy sản xuất phát triển
Phương thức sản xuất là thể thống nhất của các nhân tố nào?,Quan hệ sản xuất và Kiến trúc thượng tầng,Quan hệ sản xuất và Lực lượng sản xuất,Cơ sở hạ tầng và Kiến trúc thượng tầng,Lực lượng sản xuất và cơ sở hạ tầng
Sự biến đổi của quan hệ sản xuất do yếu tố nào quyết định nhất?,Sự phong phú của đối tượng lao động,Do công cụ hiện đại,Trình độ của người lao động,Trình độ của lực lượng sản xuất
Mặt tự nhiên của phương thức sản xuất là gì?,Quan hệ sản xuất,Cơ sở hạ tầng,Kiến trúc thượng tầng,Lực lượng sản xuất
Cơ sở hạ tầng là gì?,"Toàn bộ đất đai, máy móc, phương tiện để sản xuất",Toàn bộ những quan hệ sản xuất hợp thành một cơ cấu kinh tế của một xã hội nhất định,Toàn bộ những thành phần kinh tế của một xã hội,Là cơ cấu công- nông nghiệp của một nền kinh tế- xã hội
"Quan điểm, tư tưởng của xã hội là yếu tố thuộc phạm trù nào?",Kiến trúc thượng tầng,Quan hệ sản xuất,Cơ sở hạ tầng,Tồn tại xã hội
"Các thiết chế như Nhà nước, Đảng chính trị … là yếu tố thuộc phạm trù nào?",Cơ sở hạ tầng,Quan hệ sản xuất,Kiến trúc thượng tầng,Lực lượng sản xuất
Tính chất đối kháng của kiến trúc thượng tầng là do nguyên nhân:,Khác nhau về quan điểm tư tưởng,Từ tính đối kháng của cơ sở hạ tầng,Tranh giành quyền lực,Tất cả đều sai
Sự biến đổi có tính chất cách mạng nhất của kiến trúc thượng tầng là do:,Thay đổi chính quyền nhà nước,Thay đổi của lực lượng sản xuất,Thay đổi của quan hệ sản xuất thống trị,Sự thay đổi của cơ sở hạ tầng
"Theo quan điểm của triết học Mác – Lênin, Sản xuất vật chất là:",Quá trình con người cải tạo giới tự nhiên,Quá trình con người tạo ra của cải cho đời sống xã hội,"Quá trình con người sử dụng công cụ lao động tác động vào tự nhiên, cải biến các dạng vật chất của tự nhiên để tạo ra của cải vật chất nhằm thỏa mãn nhu cầu tồn tại và phát triển của con người","Quá trình con người sử dụng công cụ lao động tác động vào tự nhiên, cải biến các dạng vật chất nhằm thỏa mãn nhu cầu của con người"
"Theo quan điểm của triết học Mác- Lênin, nhân tố quyết định sự tồn tại của xã hội là gì?",Sản xuất tinh thần,Sản xuất ra bản thân con người,Sản xuất vật chất,Tái sản xuất vật chất
Đối tượng của lao động là gì?,Công cụ lao động,Cơ sở hạ tầng,Khoa học công nghệ,Những cái có sẵn trong tự nhiên và nguyên liệu
Quan hệ sản xuất tác động thúc đẩy sự phát triển của Lực lượng sản xuất khi:,Quan hệ sản xuất phù hợp với tính chất và trình độ của Lực lượng sản xuất,Quan hệ sản xuất lạc hậu hơn Lực lượng sản xuất,Quan hệ sản xuất tiến bộ hơn Lực lượng sản xuất,Quan hệ sản xuất là ưu việt
Yếu tố nào không thuộc Lực lượng sản xuất?,Vị trí của người lao động trong doanh nghiệp,Trình độ thành thạo của người lao động,Kinh nghiệm của người lao động,"Năng lực tổ chức, quản lý của người lao động"
"Theo quy luật, nhà nước là công cụ của giai cấp mạnh nhất, đó là:",Giai cấp đông đảo nhất trong xã hội,Giai cấp thống trị về kinh tế,Giai cấp tiến bộ đại diện cho xã hội tương lai,Giai cấp thống trị về chính trị
"Theo quan điểm của Triết học Mác - Lênin, khái niệm nào dùng để chỉ toàn bộ sinh hoạt vật chất và những điều kiện sinh hoạt vật chất của xã hội?",Hình thái kinh tế - xã hội,Ý thức xã hội,Tồn tại xã hội,Lao động sản xuất
"Trong tồn tại xã hội, yếu tố nào là quan trọng và quyết định?",Điều kiện tự nhiên - hoàn cảnh địa lý,Dân số và tốc độ tăng dân số,Quan hệ sản xuất,Phương thức sản xuất
Ý thức xã hội là sự phản ảnh về:,"Giới tự nhiên, xã hội và tư duy",Hiện thực khách quan,Tồn tại xã hội,Hoạt động sản xuất vật chất
"Trong xã hội có giai cấp, ý thức xã hội mang tính giai cấp là do đâu?",Sự truyền bá tư tưởng của giai cấp thống trị,Các giai cấp có quan niệm khác nhau về giá trị,"Điều kiện sinh hoạt vật chất, địa vị và lợi ích của các giai cấp khác nhau",Tất cả đều sai
Nếu xét theo trình độ của sự phản ánh thì kết cấu của ý thức xã hội bao gồm những bộ phận nào?,Ý thức cá nhân và ý thức xã hội,Ý thức xã hội thông thường và ý thức xã hội lý luận,"Hệ thống chính sách, chủ trương của Nhà nước về văn hoá tư tưởng","Ý thức chính trị, ý thức pháp quyền, ý thức đạo đức, ý thức tôn giáo …"
Đặc điểm nổi bật của tâm lý xã hội là gì?,Phản ánh khái quát đời sống xã hội,"Phản ánh trực tiếp điều kiện sinh sống hàng ngày, phản ánh bề mặt của tồn tại xã hội",Phản ánh bản chất của tồn tại xã hội,"Phản ánh tình cảm, tâm trạng của một cộng đồng người"
Đâu là đặc điểm của hệ tư tưởng?,"Hệ tư tưởng là hệ thống những quan điểm, hệ thống hoá, khái quát hoá thành lý luận, thành các học thuyết chính trị - xã hội phản ánh lợi ích của một giai cấp nhất định",Tất cả hệ tư tưởng đều là hệ tư tưởng khoa học,Trong xã hội có giai cấp thì chỉ có hệ tư tưởng biểu hiện tính giai cấp của ý thức xã hội,"Hệ tư tưởng không ảnh hưởng đến sự phát triển của khoa học. Hệ tư tưởng ra đời trực tiếp từ tâm lý xã hội, là sự cô đọng của tâm lý xã hội"
Điều kiện cơ bản để ý thức xã hội tác động trở lại tồn tại xã hội là:,Ý thức xã hội phải phù hợp với tồn tại xã hội,Hoạt động thực tiễn của con người,Điều kiện vật chất bảo đảm,Ý thức xã hội phải “vượt trước” tồn tại xã hội
Vai trò của ý thức cá nhân đối với ý thức xã hội là gì?,Ý thức cá nhân là phương thức tồn tại và biểu hiện của ý thức xã hội,Tổng số ý thức cá nhân bằng ý thức xã hội,Ý thức cá nhân độc lập với ý thức xã hội,Ý thức cá nhân quyết định ý thức xã hội
Mối quan hệ giữa ý thức cá nhân và ý thức xã hội là gì?,Ý thức cá nhân tồn tại độc lập và không liên hệ gì với ý thức xã hội,Ý thức xã hội là cái quyết định và tạo thành ý thức cá nhân,Ý thức xã hội là tổng số những ý thức cá nhân,Ý thức cá nhân và ý thức xã hội là mối liên hệ giữa cái riêng và cái chung
"Theo quan điểm của Chủ nghĩa Mác – Lênin, trong thời đại ngày nay, hình thái ý thức xã hội nào có tác động mạnh mẽ và sâu sắc đối với các hình thái ý thức xã hội khác?",Khoa học,Đạo đức và tôn giáo,Chính trị và pháp quyền,Nghệ thuật
Ý thức chính trị thực tiễn thông thường được nảy sinh từ đâu?,Từ hoạt động thực tiễn trong môi trường chính trị - xã hội trực tiếp,Từ hoạt động đấu tranh giai cấp,Từ hoạt động Nhà nước,Từ hoạt động kinh tế – chính trị
Hình thái ý thức nào phản ánh đời sống chính trị của xã hội?,Chính trị,Đạo đức,Tôn giáo,Khoa học
"Hình thái ý thức nào phản ánh toàn bộ các tư tưởng, quan điểm của một giai cấp, là sự phản ánh mặt pháp lý trong đời sống xã hội?",Chính trị,Đạo đức,Pháp quyền,Khoa học
Về cơ bản ý thức pháp quyền trực tiếp phản ánh yếu tố gì của đời sống xã hội?,Quan hệ sản xuất,Chính trị,Đạo đức,Triết học
"Cách dùng tên Mặt Trời, Mặt Trăng và các hành tinh khác để gọi các ngày trong tuần là do người… cổ đại đăt ra.",Ai Cập,Hy Lạp,La Mã,Lưỡng Hà
Tộc người nào đã xây dựng nền văn minh đầu tiên ở Lưỡng Hà?,Akkad,Sumer,Medi,Assyry
Vườn treo Babylon được xây dựng dưới thời trị vì của vị vua nào?,Hammurabi (1792 - 1750 tr.CN),Nabopolasar (Thế kỷ VII tr.CN),Nabuchodonosor (605 - 561 tr.CN),Xargon (2369 - 2314 tr.CN)
Bộ luật đầu tiên xuất hiện ở Lưỡng Hà,Luật Vương triều Ur,Luật Hammurabi,Luật 12 bảng,Luật Manu
Lưỡng Hà (tiếng Hy Lạp là Mesopotamia) có nghĩa là…,Hai con sông,Sông Tigris và Euphrates,Vùng đất giữa hai con sông,Vùng Tây Á
Chữ của người Lưỡng Hà cổ đại được gọi là chữ hình đinh (Cueiforme) là vì…,Nét chữ giống hình cái đinh,Họ dùng đinh để viết,Họ viết chữ lên các tấm đất sét,Họ viết chữ lên các tấm da
Thiên anh hùng ca Gilgamesh bắt nguồn từ nền văn minh nào?,Ai Cập,Lưỡng Hà,Ấn Độ,Hy Lạp
Chữ viết của người Sumer được viết trên chất liệu nào?,Giấy,Đất sét,Xương thú,Kim loại
"Các thành bang Lagash, Kish, Surrupak, Uruk, Nuppur là những quốc gia nhỏ của người..",Sumer,Babylonia,Akkad,Hy lạp
Vị vua đầu tiên thống nhất được toàn bộ vùng Lưỡng Hà là...,Sargon,Hammurabi,Utukhegal,Nabuchodonosor
Bộ luật Hammurabi được sáng tạo trong thời kỳ nào của nền văn minh Lưỡng Hà?,Vương quốc Akkad,Vương quốc Babylon cổ,Vương quốc Tân Babylon,Vương quốc Assyria
Tôn giáo của người Lưỡng Hà cổ đại là …,Bái hỏa giáo,Đa thần giáo,Đạo vật tổ,Sikh giáo
"Hệ thống lịch theo Mặt Trăng (Âm lịch), 1 năm có 12 tháng, xen kẻ một tháng đủ có 30 ngày là một tháng thiếu có 29 ngày, tổng cộng cả năm là 354 ngày. Đó là hệ thống lịch của nền văn minh nào?",Văn minh Ai Cập,Văn minh Lưỡng Hà,Văn Minh Ấn Độ,Văn minh Trung Hoa
"Trong nền văn minh Lưỡng Hà, bộ luật cổ hoàn chỉnh nhất là ….",Luật Hammurabi,Luật Manu,Luật 12 bảng,Luật của thành bang Ur
Người Lưỡng Hà phát minh ra loại lịch nào?,Nông lịch,Dương lịch,Âm lịch,Cả âm lịch và dương lịch
Vườn treo Babylon - một trong 7 kỳ quan thế giới cổ đại – được xây dựng trong thời kỳ nào?,Nhà nước của người Sumer,Đế quốc Akkad,Đế quốc Babylon cổ,Tân Babylon
Nhân vật xuất hiện trong đoạn trích Nạn đại hồng thủy thuộc sử thi Gilgamesh là?,Noah,Đam Săn,Utnapishtim,Héc-quyn
"Trong lịch sử thế giới, người ... được coi là tộc người đã xây dựng các quốc gia thành thị sớm nhất.",Ai Cập,Sumer,Hy Lạp,Dravida
"Chữ do người ... phát minh ra là thứ chữ mẹ đẻ của nhiều thứ chữ cổ khác như chữ Akkad, chữ Babylonnia, chữ Hatti, chữ Assyria, chữ Ba Tư.",Ai Cập,Phenicia,Sumer,Ấn Độ
Thời kỳ tồn tại của vương quốc nào được coi là thời kỳ huy hoàng nhất trong lịch sử Lưỡng Hà?,Vương triều III Ur,Vương quốc Tân Babylon,Vương quốc Akkad,Vương quốc Cổ Babylon
"Các công trình: Thành Babylon, Tháp Babylon, Vườn treo Babylon thuộc về nền văn minh nào?",Lưỡng Hà,Trung Quốc,Ấn Độ,Ai Cập
Hai con sông lớn góp phần quan trọng tạo nên nền văn minh Lưỡng Hà là…,Sông Tigris và Euphrates,Sông Trường Giang và Hoàng Hà,Sông Ấn và Hằng,Cả ba đáp án đều sai
Vương quốc Tân Babylon do vị vua nào thành lập?,Nabopolaxa,Nabuchodonosor,Hammurabi,Naramxine
"Vương quốc nào dưới đây đã công hãm Jerusalem, diệt vương quốc Do Thái, bắt tất cả tăng lữ, quí tộc, thương nhân và thợ thuyền Do Thái về quản chế tại Babylonia, tạo nên cái gọi là ""nhà ngục Babylonia"" mà lịch sử Do Thái thường nhắc đến với tâm trạng đau đớn?",Ba Tư,Assyria,Cổ Babylonia,Tân Babylonia
"Các vị thần: thần Anu (thần Trời), thần Samat (thần Mặt trời), thần Istaro (thần Ái tình), thần Inana (thần Mẹ), thần Ea (thần Biển), thần Tammuz (thần Nước), thần Istar(Nữ thần Chiến tranh và Thắng lợi) thuộc nền văn minh nào?",Ai Cập,Lưỡng Hà,Ấn Độ,Hy Lạp
Bốn trung tâm văn minh ra đời sớm nhất ở phương Đông cổ đại là…,Ai Cập – Lưỡng Hà – Ấn Độ - Ả Rập,Ai Cập – Lưỡng Hà – Trung Quốc – Ả Rập,Ai Cập – Lưỡng Hà – Ấn Độ - Trung Quốc,Ai Cập – Lưỡng Hà – Hy Lạp – La Mã
Người Ấn Độ tự hào rằng: “Cái gì không thấy được ở trong… thì cũng không thấy được ở Ấn Độ”,Ramayana,Veda,Sakuntala,Mahabharata
Hai thành phố cổ Harappa và Mohenjo Daro thuộc nền văn minh nào?,Văn minh Lưỡng Hà,Văn minh Trung Quốc,Văn minh Ấn Độ,Văn minh Hy Lạp
Tôn giáo đầu tiên xuất hiện và được truyền bá rộng rãi tại Ấn Độ là...,Thiên chúa giáo,Phật giáo,Bà La Môn giáo,Do Thái giáo
“Tứ diệu đế” của Phật giáo gồm những gì?,Khổ đế - Tập đế - Diệt đế - Đạo đế,Khổ đế - Chánh đế - Diệt đế - Đạo đế,Khổ đế - Tập đế - Chân đế - Đạo đế,Khổ đế - Thiên đế - Diệt đế - Đạo đế
Hai con sông lớn góp phần quan trọng tạo nên nền văn minh Ấn Độ là?,Sông Tigris và Euphrates,Sông Trường Giang và Hoàng Hà,Sông Ấn và sông Hằng,Cả ba đáp án đều sai
"Các quan niệm về Dharma (Đạo pháp), Karma (Nghiệp), Samsara (Luân hồi),Nirvana (Niết bàn), có gốc từ tôn giáo nào?",Balamon giáo,Phật giáo,Jain giáo,Sikh giáo
Tác phẩm nào được xem là “Thiên tình sử” của nền văn học Ấn Độ?,Veda,Sakuntala,Ramayana,Mahabharata
Phát biểu nào đúng nhất trong các phát biểu dưới đây?,Người Aryan là chủ nhân của nền văn minh sông Ấn,Người Dravida là chủ nhân của nền văn minh sông Ấn,Người Dravida là chủ nhân của nền văn minh sông Hằng,Người Aryan là chủ nhân của nền văn minh sông Ấn và sông Hằng
Varna là chế độ….,Phân biệt về tôn giáo,Phân biệt về nghề nghiệp,Phân biệt về đẳng cấp xã hội,"Phân biệt về dòng tộc, tôn giáo"
Ai là người sáng lập vương triều Maurya (321-232 tr.CN) trong lịch sử Ấn Độ?,Chandragupta,Mahapadma Nanda,Bimbisara,Asoka
Người đã sáng lập ra Phật giáo là…,Siddartha Gautama,Moses,Jesus,Muhammad
"Trong xã hội của người Aryan, đẳng cấp nào là cao nhất?",Ksatrya,Vaisya,Brahman,Sudra
Phật giáo ra đời tại quốc gia nào?,Ấn Độ,Trung Quốc,Lưỡng Hà,Ai Cập
Tác phẩm nào được xem là Đại Bách khoa toàn thư của Ấn Độ?,Veda,Sakuntala,Ramayana,Mahabharata
Nguồn gốc của người Aryan là…,Những người nói hệ ngôn ngữ Ấn – Âu,Những người trồng trọt nói hệ ngôn ngữ Ấn – Âu,Những người chăn thả súc vật nói hệ ngôn ngữ Ấn – Âu,Những người thương nhân nói hệ ngôn ngữ Ấn – Âu
"Trong Tứ Diệu đế của Phật giáo, cái gì đề cập đến nguyên nhân của sự khổ đau?",Khổ đế (Dukha),Tập đế (Samudaya),Diệt đế (Nirodha),Đạo đế (Marga)
"Trong Tứ Diệu đế của Phật giáo, cái gì đề cập đến con đường đúng để diệt khổ?",Khổ đế (Dukha),Tập đế (Samudaya),Diệt đế (Nirodha),Đạo đế (Marga)
"Trong Tứ Diệu đế của Phật giáo, cái gì đề cập đến sự cần thiết phải diệt khổ?",Khổ đế (Dukha),Tập đế (Samudaya),Diệt đế (Nirodha),Đạo đế (Marga)
"Trong giáo lý của Phật giáo, Tứ vô lượng tâm “bốn món tâm rộng lớn không lường được”, đó là…",Từ - Bi - Hỷ - Nộ,Từ - Bi - Ái - Hỷ,Từ - Bi - Hỷ - Xả,Từ - Hỷ - Ái - Xả
Dòng sông được coi là linh thiêng nhất có tính chất tôn giáo của Ấn Độ là…,Sông Ấn,Sông Hằng,Sông Krishna,Sông Thiêng
"Công trình nghệ thuật kiến trúc nổi tiếng nhất ở Ấn Độ được người đời ca tụng là“giọt lệ rơi tạc bằng đá cẩm thạch” và “đó không phải là một công trình kiến trúc thông thường như các tòa nhà khác, mà là một tình yêu nồng nàn của vị đế vương được tạc trên đá, sống mãi với thời gian”. Đó là công trình nào?",Lăng mộ Taj Mahal,Cột đá Sácnat,Chùa hang Ajanta,Tháp Sanchi
Kinh Veda được sử dụng trong giáo lý của tôn giáo nào?,Phật giáo,Ki tô giáo,Bà La Môn giáo,Hồi giáo
"Các vị thần Brahma (thần Sáng tạo), Vishnu (thần Bảo vệ), Siva (thần Hủy diệt) thuộc tôn giáo nào?",Phật giáo,Ki tô giáo,Hồi giáo,Bà La Môn giáo
"Trong tôn giáo của Ấn Độ, đạo Bà La Môn về sau được gọi là….",Hindu giáo,Sikh giáo,Phật giáo,Jaina giáo
Hindu giáo ra đời tại quốc gia nào?,Ai Cập,Lưỡng Hà,Ấn Độ,Trung Quốc
Người khởi xướng tư tưởng Nho Giáo là…,Lão Tử,Tuân Tử,Hàn Phi Tử,Khổng Tử
"Thời Cổ Trung đại, 4 phát minh quan trọng nào của người Trung Quốc được thế giới đánh giá cao?","Giấy, Kỹ thuật in, La bàn, Thuốc súng","Giấy, Kỹ thuật in, La bàn, Súng Đại bác","Giấy, Lụa, La bàn, Thuốc súng","Giấy, Lụa, La bàn, Súng Đại bác"
"Các tác phẩm Thủy hử, Tam quốc diễn nghĩa, Tây Du Ký, Hồng Lâu Mộng thuộc về nền văn minh nào?",Ấn Độ,Trung Quốc,Ai Cập,Lưỡng Hà
"Ra đời từ thiên niên kỷ thứ II tr.CN, chữ viết cổ của nền văn minh nào dưới đây là hệ chữ viết duy nhất được sử dụng qua hàng ngàn năm lịch sử cho đến ngày nay?",Ấn Độ,Trung Quốc,Lưỡng Hà,Hy Lạp
"Trong lịch sử Trung Quốc, ai là người thành lập trường phái Pháp gia về triết học chính trị?",Lão Tử,Tuân Tử,Mạnh Tử,Thương Ưởng
Cuộc cải cách của Thương Ưởng (bắt đầu từ năm 359 tr.CN) đã làm cho nước nào hùng mạnh lên?,Tấn,Sở,Ngụy,Tần
"Công trình vĩ đại của Trung Quốc, được ví như “nghĩa địa dài nhất trái đất” là…",Vạn Lý Trường Thành,Tử Cấm Thành,Lăng mộ Tần Thủy Hoàng,Phượng Hoàng cổ trấn
Chữ Giáp cốt xuất hiện dưới thời kỳ nào trong lịch sử Trung Quốc cổ đại?,Thời nhà Hạ (Thế kỷ XXI - XVI tr.CN),Thời nhà Thương (Thế kỷ XVI - XI tr.CN),Thời Tây Chu (Thế kỷ XI - VIII tr.CN),Thời Hoàng Đế (Thiên niên kỷ III tr.CN)
Thứ tự của các triều đại đầu tiên trong lịch sử Trung Hoa?,Chu – Thương – Hạ,Chu – Hạ - Thương,Hạ - Thương – Chu,Thương - Hạ - Chu
Chữ Giáp cốt là một dạng chữ viết…,Xuất hiện khoảng thiên niên kỷ II tr.CN và sau đó trở thành một thứ chữ chết,Xuất hiện khoảng thiên niên kỷ II tr.CN và sau đó được cải tiến qua quá trình lịch sử để trở thành chữ Trung hiện nay,Xuất hiện khoảng thiên niên kỷ II tr.CN và sau đó trở thành một thứ chữ chết khi chữ kim văn xuất hiện,Xuất hiện khoảng thiên niên kỷ II tr.CN và sau đó trở thành thứ chữ chết khi nhà Tần thống nhất Trung Quốc vào năm 221 tr.CN
Người đã lập ra Triều đại nhà Hán ở Trung Quốc là…,Lưu Bang,Hạng Vũ,Tần Thủy Hoàng,Càn Long
Vị hoàng đế đầu tiên thống nhất Trung Quốc?,Việt Vương Câu Tiễn,Tần Thủy Hoàng,Ngô Vương Phù Sai,Chu Nguyên Chương
Ai là người có quan điểm nhấn mạnh đến vô vi thay cho quyền lực chính trị và tự vấn thay cho việc làm chủ những người khác?,Lão Tử,Tuân Tử,Hàn Phi Tử,Khổng Tử
Quan điểm cho rằng: Nhân chi sơ tính bản thiện là của…,Lão Tử,Tuân Tử,Hàn Phi Tử,Mạnh Tử
Người phụ nữ duy nhất trong lịch sử phong kiến Trung Hoa xưng đế là…,Từ Hy Thái Hậu,Dương Quý Phi,Võ Tắc Thiên,Vương Chiêu Quân
Kinh đô chính của triều Thương (XVI-XI tr.CN) là...,Triều Ca,Bạc,Trường An,Ân Khư
"Theo Tư Mã Thiên, chính sách phân phong ruộng đất cho những người cùng dòng họ, do đó mà lập nên hệ thống các quốc gia chư hầu xuất hiện dưới thời kỳ nào?",Thời nhà Hạ (TK XXI -XVI tr.CN),Thời nhà Thương (TK XVI-XI tr.CN),Thời Tây Chu (TK XI-VII tr.CN),Thời Xuân Thu-Chiến Quốc (TK VII-III tr.CN)
"Khác với quan niệm của Mạnh Tử, ai cho rằng: Nhân chi sơ tính bản ác?",Lão Tử,Tuân Tử,Hàn Phi Tử,Mặc Tử
Kinh đô đầu tiên của Nhà Hán đóng ở đâu?,Tây An,Trường An,Lạc Dương,Bắc Kinh
"Về nguồn gốc lịch sử, chủ nhân đầu tiên của vùng châu thổ sông Hoàng Hà và là tổ tiên của dân tộc Hán sau này là các tộc người nào?",Hạ - Thương – Mãn,Thương - Chu - Mông Cổ,Hạ - Thương - Hồi,Hạ - Thương – Chu
"Theo Khổng Tử, quan niệm về Ngũ thường là…","Nhân, Lễ, Nghĩa, Trí, Dũng","Lễ, Nghĩa, Trí, Tín, Dũng","Nhân, Lễ, Nghĩa, Trí, Tín","Nhân, Lễ, Đức, Trí, Tín"
"Theo Khổng Tử, quan niệm về Tam cương là…","Vua – Tôi, Cha – Con, Chồng – Vợ","Vua – Tôi, Anh – Em, Bầu – Bạn","Cha – Con, Chồng – Vợ, Anh – Em","Chồng – Vợ, Anh – Em, Bầu – Bạn"
"Về nguồn gốc, nền văn minh Trung Quốc đầu tiên xuất hiện dọc lưu vực con sông nào?",Trường Giang,Lệ Giang,Hán Thủy,Hoàng Hà
Công trình phòng ngự nổi tiếng nào ở Trung Quốc được xây dựng từ thời kỳ Tần Thủy Hoàng?,Tử Cấm Thành,Vạn lý Trường Thành,Thành Trường An,Thành Lạc Dương
"Các loại chữ viết: Giáp cốt, Kim văn, Tiểu triện, chữ Lệ, chữ Khải thuộc nền văn minh nào?",Ấn Độ,Ai Cập,Lưỡng Hà,Trung Quốc
"Tập thơ nào là tập thơ cổ nhất Trung Quốc, được các tác giả sáng tác trong khoảng thời gian từ thời Tây Chu cho đến giữa thời Xuân Thu, gồm ba phần: Phong, Nhã, Tụng?",Thạch hào lại,Kinh thi,Tì bà hành,Hành lộ nan
"Các tác phẩm văn học như Tam Quốc Diễn Nghĩa, Hồng Lâu Mộng, Tây Du Ký, Thủy Hử, Liêu Trai Chí Dị ra đời vào thời kỳ nào ở Trung Quốc?",Thời kỳ Xuân Thu – Chiến quốc,Thời kỳ nhà Hán,Thời kỳ nhà Minh – Thanh,Thời kỳ nhà Đường
"Trong nền văn chương Hy Lạp, ai là tác giả của hai tác phẩm thi ca lớn Iliad và Odyssey, với chủ đề huyền thoại về cuộc chiến của người Myecnaean với thành Troy?",Homer,Sophocles,Socrates,Plato
"Trong nghệ thuật kiến trúc, ba phong cách phân biệt cho những tòa nhà đồ sộ, mỗi phong cách được trang trí hoa mỹ hơn phong cách trước đó: Doric, Ionic và Corinthian. Đó là kiến trúc của nền văn minh nào?",Ấn Độ,La Mã,Hy Lạp,Trung Quốc
"Trong nền văn minh Hy Lạp, ai là người đã nghĩ ra những hệ thống ròng rọc để bơm nước ra khỏi những con tàu và cánh đồng ngập nước?",Gallen,Ptolemy,Pythagore,Archimedes
Triết gia Hy Lạp nổi tiếng nhất và là thầy của Alexander đại đế?,Aristophanes,Socrates,Aristotle,Plato
"Theo thần thoại Hy Lạp, vị thần nào đã sáng tạo ra con người và nền văn minh nhân loại?",Thần Zeus,Thần Apollon,Thần Prometheus,Thần Athena
"Trong thần thoại Hy Lạp, vị thần nào được xem là tối cao nhất, thần của các vị thần",Thần Zeus,Thần Artemis,Thần Lesto,Thần Apollon
Bảng chữ cái Alphabet đầu tiên trên thế giới do dân tộc nào sáng tạo nên?,Người Hy Lạp,Người La Mã,Người Ai Cập,Người Phoenicia
"Nền văn minh nào là nền văn minh tối cổ của người Hy Lạp, tồn tại từ thiên niên kỷ III đến thiên niên kỷ II tr.CN?",Văn minh thời đại Homer,Văn minh Crete – Myxen,Văn minh Sumer,Văn minh Phenicia
Thành bang được xem là thành bang điển hình cho chế độ cộng hòa quý tộc ở Hy Lạp cổ đại là..,Sparte,Athens,Coranh,Mile
Thành bang nào được xem là thành bang điển hình cho chế độ cộng hòa dân chủ ở Hy Lạp cổ đại?,Thành bang Mile,Thành bang Sparte,Thành bang Athens,Thành bang Coranh
Vị vua trẻ nổi tiếng nhất của Macedonia thời kỳ Hy Lạp cổ đại là ai?,Caesar,Alexander,Potolemy,Octavius
