Câu hỏi,A,B,C,D,Answer,Grade,retained
"Phương trình 3x + 5y = 501 có bao nhiêu cặp nghiệm (x; y) với x, y nguyên dương ?",33,34,35,100,A,Toán 9,True
"Cho đường tròn tâm O và dây AB. Gọi M là trung điểm của dây AB. Cho A cố định, B di động trên (O). Hỏi M di động trên đường nào?",Đường thẳng AM,Đường tròn tâm O bán kính OM,Đường tròn đường kính OA,"A,B,C đều sai",C,Toán 9,False
"Ở quẩn thể động vật, kiểu phân bố giúp làm giảm mức độ cạnh tranh giữa các cá thề là",ngẫu nhiên,bầy đàn,đồng đều,theo nhóm,C,Toán 9,True
"Một đoạn NST của ruồi giấm có trình tự các gen như sau: ABCDE⋅GHIK (dấu ⋅ là tâm động). Do xảy ra đột biến mất đoạn ABC, trình tự các gen trên NST sau đột biến là",DE ⋅ GHIK,DE ⋅ GHABCIK,E ⋅ GHIK,CBADE ⋅ GHIK,A,exam,False
Môi trường sống của giun đũa kí sinh trong ruột lợn là môi trường,nước,sinh vật ,trên cạn,đất,B,exam,True
Mối quan hệ nào sau đây thuộc nhóm quan hệ đối kháng trong quần xã?,Kí sinh ,Cộng sinh,Hợp tác,Hội sinh ,A,exam,True
"Trong quá trình phiên mã, trình tự các nuclêôtit nào sau đây trên mARN liên kết bổ sung với trình tự 3' AAA 5' trên mạch làm khuôn của gen?",5' GGG 3'.,3' TTT 5'.,5' AAA 3'.,5' UUU 3'.,D,exam,True
Chuỗi hemôglôbin của vượn Gibbon và người khác nhau ba axit amin. Đây là bằng chứng tiến hóa,tế bào học,cơ quan thoái hóa ,sinh học phân tử ,cơ quan tương đồng,B,exam,True
"Ở một quần thể thực vật, xét một gen có hai alen (A,a) nằm trên NST thường. Tần số alen A là 0,6 . Theo lí thuyết, tần số alen a của quần thể này là","0,4","0,2","0,3","0,1",A,exam,True
"Trong phương pháp tạo giống động vật có uu thế lai cao, cơ thể lai F1 tạo ra từ phép lai khác dòng được sử dụng vào mục đích",kinh tế,tạo dòng thuần ,lai phân tích,gây đột biến,A,exam,True
"Ở người, giả sử kiểu gen aabbdd quy định màu da trắng; màu da đậm dần theo sự tăng số lượng alen trội, kiểu gen AABBDD quy định màu da đen. Các gen quy định tính trạng này di truyền theo quy luật nào sau đây?",Hoán vị gen,Tác động đa hiệu của gen,Tương tác cộng gộp,Tương tác bổ sung,B,exam,False
Điều hòa hoạt động của gen thực chất là điều hòa lượng,sản phẩm của gen được tạo ra,"nuclêôtit (A, U, G, X) tham gia tổng hợp ARN","nuclêôtit (A, T, G, X) tham gia tổng hợp ADN.",glucôzơ tham gia tổng hợp tinh bột.,A,exam,True
"Xét chuỗi thức ăn: Cây thông → Xén tóc → Chim gõ kiến → Trăn. Trong chuỗi thức ăn này, sinh vật sản xuất là",trăn,xén tóc,chim gõ kiến,cây thông,D,exam,True
Xương khủng long trong các lớp đất đá được phát hiện có từ đại Trung sinh thuộc bằng chứng tiến hóa nào sau đây?,Cơ quan thoái hóa,Tế bào học,Hóa thạch,Sinh học phân tử ,B,exam,True
Loài lúa mì hoang dại (Aegilops speltoides) có bộ NST 2n=14. Một tế bào sinh dưỡng của thể ba (2n+1) của loài này có số lượng NST là,15,14,13,21,A,exam,True
Hiện tượng nhiều ribôxôm cùng dịch mã trên một mARN gọi là,ADN,nuclêôxôm.,pôliribôxôm.,prôtêin.,C,exam,True
"Theo lí thuyết, cơ thể có kiểu gen AABB giảm phân bình thường tạo ra bao nhiêu loại giao tư",2,4,3,1,D,exam,False
"Theo lí thuyết, phép lai $X^\alpha X^\alpha \times X^\alpha Y$ tạo ra đời con có tỉ lệ kiểu gen $X^\alpha X^\alpha$ là",75%,25%,100%,50%,D,exam,False
"Ở thực vật, chất nào sau đây là thành phần chủ yếu của dịch mạch gỗ?",Glucôzơ,Saccarôzo.,Nước,Tinh bột,C,exam,True
"Theo thuyết tiến hóa tổng hợp hiện đại, nhân tố nào sau đây không phải là nhân tố tiến hóa?",Đột biến,Giao phối không ngẫu nhiên,Di - nhập gen,Cách li sinh sản,D,exam,False
Giống cây bông được chuyển gen kháng sâu hại từ vi khuẩn là thành tựu của phương pháp tạo giống nhờ,cây truyền phôi,gây đột biến,nhân bản vô tính ,di - nhập gen,D,exam,True
"Theo lí thuyết, quá trình giảm phân ở cơ thể có kiểu gen $\frac{AB}{ab}$ không xảy ra hoán vị gen có thể tạo ra giao tử",$X^{aB}$,$\underline{aB}$,$\underline{ab}$,$\underline{Ab}$,C,exam,True
Chọn cặp từ thích hợp để điền vào các chỗ trống trong câu sau: Xương to ra về bề ngang là nhờ các tế bào …(1)… tạo ra những tế bào mới đẩy …(2)… và hóa xương.,(1) : mô xương cứng ; (2) : ra ngoài.,(1) : mô xương xốp ; (2) : vào trong.,(1) : màng xương ; (2) : ra ngoài.,(1) : màng xương ; (2) : vào trong.,D,exam,False
Đặc điểm nào dưới đây không có ở hồng cầu người ?,"Hình đĩa, lõm hai mặt.",Màu đỏ hồng.,"Nhiều nhân, nhân nhỏ và nằm phân tán.",Tham gia vào chức năng vận chuyển khí.,C,exam,True
"Ở người, một cử động hô hấp được tính bằng",hai lần hít vào và một lần thở ra.,một lần hít vào và một lần thở ra.,một lần hít vào hoặc một lần thở ra.,một lần hít vào và hai lần thở ra.,B,exam,False
Bàn chân hình vòm ở người có ý nghĩa thích nghi như thế nào ?,"Làm giảm tác động lực, tránh được các sang chấn cơ học lên chi trên khi di chuyển.","Hạn chế tối đa sự tiếp xúc của bề mặt bàn chân vào đất bởi đây là nơi tập trung nhiều đầu mút thần kinh, có tính nhạy cảm cao.","Phân tán lực và tăng cường độ bám vào giá thể/ mặt đất khi di chuyển, giúp con người có những bước đi vững chãi, chắc chắn.",Tất cả các phương án đưa ra.,D,exam,True
"Trong nhân tế bào, quá trình tổng hợp ARN ribôxôm diễn ra chủ yếu ở đâu ?",Dịch nhân.,Nhân con.,Nhiễm sắc thể.,Màng nhân.,B,Sinh 8,False
Phần cẳng chân có bao nhiêu xương ?,2,3,1,4,A,Sinh 8,True
"Dựa vào phân loại, em hãy cho biết mô nào dưới đây không được xếp cùng nhóm với các mô còn lại ?",Mô máu.,Mô cơ trơn.,Mô xương.,Mô mỡ.,B,Sinh 8,True
"Trong máu, huyết tương chiếm tỉ lệ bao nhiêu về thể tích ?",75%.,60%.,45%.,55%.,D,Sinh 8,True
Vi khuẩn Helicobacter pylori – thủ phạm gây viêm loét dạ dày – kí sinh ở đâu trên thành cơ quan này ?,Lớp dưới niêm mạc.,Lớp niêm mạc.,Lớp cơ.,Lớp màng bọc.,A,Sinh 8,True
"Qua tiêu hoá, lipit sẽ được biến đổi thành",glixêrol và vitamin.,glixêrol và axit amin.,nuclêôtit và axit amin.,glixêrol và axit béo.,D,Sinh 8,False
"Trong xương dài, vai trò phân tán lực tác động thuộc về thành phần nào dưới đây ?",Mô xương cứng.,Mô xương xốp.,Sụn bọc đầu xương.,Màng xương.,B,Sinh 8,True
"Thức ăn được đẩy từ dạ dày xuống ruột nhờ hoạt động nào sau đây ?

1. Sự co bóp của cơ vùng tâm vị.

2. Sự co bóp của cơ vòng môn vị.

3. Sự co bóp của các cơ dạ dày.","1, 2, 3.","1, 3.","2, 3.","1, 2.",C,Sinh 8,True
Cơ thể người có khoảng bao nhiêu cơ ?,400 cơ.,600 cơ.,800 cơ.,500 cơ.,B,Sinh 8,True
Phát biểu nào sau đây là chính xác ?,"Vòng phản xạ được xây dựng từ 4 yếu tố : cơ quan thụ cảm, nơron trung gian, nơron hướng tâm và cơ quan phản ứng.",Vòng phản xạ bao gồm cung phản xạ và đường liên hệ ngược.,Cung phản xạ bao gồm vòng phản xạ và đường liên hệ ngược.,"Cung phản xạ được xây dựng từ 3 yếu tố : cơ quan thụ cảm, nơron trung gian và cơ quan phản ứng.",B,Sinh 8,True
"Trong đường dẫn khí của người, khí quản là bộ phận nối liền với",họng và phế quản.,phế quản và mũi.,họng và thanh quản,thanh quản và phế quản.,D,Sinh 8,True
Người mang nhóm máu AB có thể truyền máu cho người mang nhóm máu nào mà không xảy ra sự kết dính hồng cầu ?,Nhóm máu AB.,Nhóm máu O.,Nhóm máu A.,Nhóm máu B.,A,Sinh 8,False
Bệnh xơ vữa động mạch có mối liên hệ mật thiết với loại lipit nào dưới đây ?,Phôtpholipit.,Ơstrôgen.,Côlesterôn.,Testosterôn.,C,Sinh 8,True
Chức năng của chất xám là:,Trung khu điều hòa hoạt động của các cơ quan sinh sản.,Trung khu của các phản xạ không điều kiện.,Đường dẫn truyền nối các căn cứ trong tủy sống với nhau và với não bộ. ,Trung khu của các phản xạ có điều kiện.,B,Sinh 8,False
Tầng tế bào chết của da nằm ở:,Bên ngoài lớp biểu bì.,Bên trong lớp biểu bì.,Lớp mỡ dưới da.,Lớp bì.,A,Sinh 8,True
"Sau khi thụ tinh, trứng sẽ làm tổ và phát triển thành thai ở:",Âm đạo.   ,Ống dẫn trứng. ,Tử cung.    ,Buồng trứng.,C,Sinh 8,True
Chức năng của tuyến tiền liệt là:,Dẫn tinh trùng ra khỏi cơ thể.,Nuôi dưỡng tinh trùng. ,Sản sinh ra tinh trùng. ,Tiết dịch hòa với tinh trùng tạo tinh dịch.,D,Sinh 8,True
Hoocmôn Ơstrôgen có tác dụng:,Kích thích sự sinh nhiệt của cơ thể.,Điều hòa đường huyết.,Gây những biến đổi cơ thể ở tuổi dậy thì của nữ. ,Kích thích sự sinh nhiệt của cơ thể và gây những biến đổi cơ thể ở tuổi dậy thì của nữ.,C,Sinh 8,True
Cơ quan phân tích thị giác bao gồm:,"Các tế bào thụ cảm thị giác (trong màng lưới của cầu mắt), dây thần kinh thị giác (dây số II) và vùng thị giác ở thùy chẩm.","Dây thần kinh thị giác, vùng thị giác.","Cầu mắt, điểm mù, vùng thị giác.","Các tế bào thụ cảm thị giác, vùng thị giác.",A,Sinh 8,False
Cấu trúc dưới đây có thể xuất hiện trên sợi trục của nơron là:,Eo ranviê.  ,Bao miêlin.,Hạch thần kinh.,Eo Răngviê và bao miêlin.,D,Sinh 8,False
Vùng vận động cơ thể nằm ở:,Hồi trán lên của thùy trán.,Thùy thái dương.,Hồi đỉnh lên của thùy đỉnh.,Thùy chẩm.,A,Sinh 8,True
"Các tế bào ống thận làm việc kém hiệu quả hoặc bị tổn thương sẽ dẫn đến:

1. Quá trình hấp thụ lại các chất cần thiết sẽ bị giảm.

2. Môi trường trong bị biến đổi.

3. Trao đổi chất bị rối loạn.

4. Quá trình bài tiết các chất cặn bã và độc hại bị giảm.

5. Thành phần máu tương tự thành phần nước tiểu.

6. Nước tiểu hòa thẳng vào máu đầu độc cơ thể.

7. Gây ra bệnh đái tháo.

8. Tạo ra sỏi thận.

","1, 2, 3, 4, 6.","4, 5, 6, 7, 8.","1, 2, 4, 6, 8.","1, 2, 3, 5, 7.",A,Sinh 8,True
Hoomôn nào không phải do phần vỏ tuyến trên thận tiết ra?,Norađrênalin.,Cooctizôn. ,Anđôstêrôn., Anđrôgen.,A,Sinh 8,False
"Khi bị bụi bay vào mắt, ta thường dụi mắt làm mắt đỏ lên. Bụi đã lọt vào phần nào của mắt?",Màng cứng.,Màng lưới.,Màng mạch.,Màng giác.,D,Sinh 8,True
Tuyến cận giáp có chức năng:,Tiết hoocmôn sinh dục.,"Điều hòa đường huyết, muối natri trong máu.",Tiết dịch tiêu hóa và tiết hoocmôn. ,Tham gia điều hòa canxi và phôtpho trong máu.,D,Sinh 8,True
"Thiếu vitamin nào sẽ gây bệnh tê phù, viêm dây thần kinh?",Vitamin B12.,Vitamin B1.,PP. ,Vitamin B2.,B,Sinh 8,True
Tác dụng của hoocmôn Ôxitôxin do thùy sau tuyến yên tiết ra là:,"Gây co các cơ trơn, co tử cung.",Giữ nước (chống đái tháo nhạt).,Kích thích tuyến giáp hoạt động.,Kích thích tuyến sữa hoạt động.,A,Sinh 8,False
Loại vitamin nào tan trong nước?,Vitamin C và K.    ,Vitamin K.,Vitamin A.,Vitamin C.,D,Sinh 8,True
Tính chất của hoocmôn là:,Có hoạt tính sinh học cao.,Có hoạt tính sinh học cao nhưng dễ bị phân hủy trong dung môi.,Kích thích các quá trình sinh lí.    ,Dễ bị phân hủy trong dung môi.   ,A,Sinh 8,False
Vật nào dưới đây là vật sống ?,Cây trúc.,Cây chổi.,Cây kéo.,Cây vàng.,A,Sinh 8,False
Sinh vật nào dưới đây không có khả năng di chuyển ?,Cây chuối.,Con cá.,Con thằn lằn.,Con báo.,A,Sinh 8,True
Hoa nhãn có bao nhiêu noãn trong mỗi bông,2,1,3,4,B,Sinh 8,False
Chồi hoa sẽ phát triển thành,lá hoặc cành mang hoa,cành mang lá hoặc cành mang hoa,hoa hoặc cành mang hoa,lá hoặc hoa,C,Sinh 8,False
Cây nào dưới đây có lá kép lông chim ?,Ngũ gia bì,Chùm ngây,Xương sông,Rau muống biển,B,Sinh 6,True
Cây nào dưới đây có tốc độ tăng trưởng chiều dài thân lớn hơn những cây còn lại ?,Bưởi,Mướp,Lim,Thông,B,Sinh 6,True
Cây nào dưới đây là cây ưa sáng ?,Diếp cá,Càng cua,Bạch đàn,Lá lốt,C,Sinh 6,True
Cây nào dưới đây không có khả năng sinh sản sinh dưỡng tự nhiên ?,Tre,Gừng,Cà pháo,Sen,C,Sinh 6,True
"Trong quá trình quang hợp, lá nhả ra loại khí nào ?",Khí hiđrô,Khí nitơ,Khí ôxi,Khí cacbônic,C,Sinh 6,True
Hoa tự thụ phấn,có thể là hoa đơn tính hoặc hoa lưỡng tính,luôn là hoa lưỡng tính,luôn là hoa đơn tính,"phần lớn là hoa lưỡng tính, một số ít là hoa đơn tính",B,Sinh 6,True
"Chọn từ thích hợp để điền vào chỗ trống trong câu sau: Ở lá cây, … là bộ phận thu nhận ánh sáng để chế tạo chất hữu cơ cho cây.",lỗ khí,biểu bì,lục lạp,gân lá,C,Sinh 6,True
Sinh học không có nhiệm vụ nào dưới đây ?,Nghiên cứu về mối quan hệ giữa các loài với nhau và với môi trường sống.,Nghiên cứu về đặc điểm cấu tạo và hoạt động sống của sinh vật.,Nghiên cứu về điều kiện sống của sinh vật,Nghiên cứu về sự di chuyển của các hành tinh của hệ Mặt Trời.,D,Sinh 6,False
Thân cây gỗ dài ra là do sự phân chia tế bào của loại mô nào ?,Mô rễ,Mô dẫn,Mô che chở,Mô phân sinh ngọn,D,Sinh 6,True
Diệp lục được tìm thấy ở bộ phận nào của thân non ?,Ruột,Biểu bì,Bó mạch,Thịt vỏ,D,Sinh 6,False
"Để nhận biết khả năng hút nước và muối khoáng của thực vật, ta nên chọn những cành hoa có bông màu gì ?",Màu đỏ,Màu trắng,Màu tím,Màu vàng,B,Sinh 6,True
Hoa tự thụ phấn là,hoa có hạt phấn rơi vào đầu nhuỵ của chính hoa đó,hoa có hạt phấn rơi vào đậu nhuỵ của một hoa khác cùng cây,hoa có các hạt phấn tự thụ phấn cho nhau,hoa có hạt phấn từ nhuỵ rơi vào đầu nhị của chính nó,A,Sinh 6,True
Phần lớn nước do rễ hút vào cây được thải ra ngoài môi trường nhờ hiện tượng,"ra hoa, tạo quả",thoát hơi nước qua lá,hô hấp ở rễ,quang hợp ở lá,B,Sinh 6,True
Phần sặc sỡ nhất của các loài hoa thụ phấn nhờ sâu bọ có tên gọi là gì ?,Nhuỵ,Nhị,Tràng,Đài,C,Sinh 6,True
Vì sao nói miền hút là phần quan trọng nhất của rễ ?,"Vì bộ phận này có khả năng tái sinh rất cao, giúp rễ nhanh chóng phục hồi sau khi bị tổn thương",Vì bộ phận này là nơi duy nhất ở rễ chứa mạch rây và mạch gỗ,"Vì bộ phận này có chứa nhiều chất dinh dưỡng, giúp cung cấp nguồn năng lượng cho hoạt động của rễ",Vì bộ phận này chứa các lông hút có vai trò hút nước và muối khoáng hòa tan - chức năng quan trọng nhất của rễ thực vật,D,Sinh 6,False
Cây nào dưới đây thường sống dưới bóng các cây khác ?,Lúa,Lá gai,Phi lao,Rau má,D,Sinh 6,True
Cây nào dưới đây thường mọc hoang ở vùng trung du ?,Cây sim,Cây quế,Cây xương rồng,Cây lá lốt,A,Sinh 6,True
"Để rút ngắn thời gian thu hoạch, người thường trồng khoai lang theo hình thức nào dưới đây ?",Trồng bằng củ,Giâm cành,Chiết cành,Ghép cành,B,Sinh 6,True
Cây nào dưới đây có thân rễ ?,Tre,Khoai tây,Cà chua,Bưởi,A,Sinh 6,True
"Bao hoa gồm có hai thành phần, đó là",tràng và nhị,đài và tràng,nhị và nhuỵ,đài và nhuỵ,B,Sinh 6,True
"Ở thân cây gỗ trưởng thành, tầng sinh trụ nằm ở đâu ?",Nằm chìm trong lớp thịt vỏ,Nằm xen giữa mạch rây và mạch gỗ,Nằm phía ngoài mạch rây,Nằm bên trong mạch gỗ,B,Sinh 6,True
Nhị và nhuỵ không tồn tại đồng thời trong một bông hoa,bưởi,liễu,ổi,táo tây,B,Sinh 6,True
Cây nào dưới đây có dạng lá bắt mồi ?,Nắp ấm,Cà chua,Rong đuôi chó,Rau dền,A,Sinh 6,True
Lông hút ở rễ là một bộ phận của,tế bào thịt vỏ,tế bào biểu bì,tế bào kèm,quản bào,B,Sinh 6,True
Thành phần hoá học của chất nhiễm sắc trong nhân tế bào là:,ADN và prôtêin,ARN và gluxit,Prôtêin và lipit,ADN và ARN,A,Sinh 6,True
Thế giới sinh vật được phân loại thành các nhóm theo trình tự lớn dần là:,giới - ngành - lớp - bộ - họ - chi - loài.,loài - bộ - họ - chi - lớp - ngành - giới.,loài - chi- họ - bộ - lớp - ngành - giới.,loài - chi - bộ - họ - lớp - ngành - giới.,C,Sinh 6,True
Năng lượng tích luỹ trong các liên kết hoá học của các chất hữu cơ trong tế bào được gọi là :,Hoá năng,Nhiệt năng,Điện năng,Động năng,A,Sinh 6,False
Giới nguyên sinh bao gồm,"vi sinh vật, động vật nguyên sinh.","vi sinh vật, tảo, nấm, động vật nguyên sinh .","tảo, nấm, động vật nguyên sinh.","tảo, nấm nhày, động vật nguyên sinh.",D,Sinh 6,False
Trên màng lưới nội chất trơn có chúa nhiều loại chất nào sau đây,Enzim,Hoocmon,Kháng thể,Pôlisaccarit,A,Sinh 6,True
Tính đa dạng của prôtêin được qui định bởi,Nhóm amin của các axit amin,Nhóm R của các axit amin,Liên kết peptit,"Thành phần, số lượng và trật tự axitamin trong phân tử prôtêin",D,Sinh 6,True
Giới khởi sinh gồm:,virut và vi khuẩn lam.,nấm và vi khuẩn.,vi khuẩn và vi khuẩn lam.,tảo và vi khuẩn lam.,D,Sinh 6,False
Sự thẩm thấu là :,Sự di chuyển của các phân tử chất tan qua màng.,Sự khuyếch tán của các phân tửu đường qua màng.,Sự di chuyển của các ion qua màng.,Sự khuyếch tán của các phân tử nước qua màng.,D,Sinh 6,False
Các thành phần cấu tạo của mỗi Nuclêotit là :,"Đường, axit và Prôtêin","Đường, bazơ nitơ và axit","Axit, Prôtêin và lipit","Lipit, đường và Prôtêin",B,Sinh 6,True
Đặc điểm cơ bản nhất để phân biệt ngành động vật có xương sống với động vật không xương sống là,cơ thể đối xứng 2 bên và có bộ xương ngoài.,cơ thể đối xứng 2 bên và có bộ xương trong.,có bộ xương trong và bộ xương ngoài.,có bộ xương trong và cột sống.,D,Sinh 10,True
Sản phẩm chủ yếu được tạo ra từ hoạt động của ti thể là chất nào sau đây ?,Pôlisaccarit,axit nuclêic,Các chất dự trữ,năng lượng dự trữ,D,Sinh 10,True
Đơn phân của prôtêin là,glucôzơ.,axít amin.,nuclêôtit.,axít béo.,B,Sinh 10,True
Cấu. trúc nào sau đây có chứa Prôtêin thực hiện chức năng vận chuyển các chất trong cơ thể ?,Nhiễn sắc thể,Hêmôglôbin,Xương,Cơ,B,Sinh 10,True
"Trong ảnh hưởng của nhiệt độ lên hoạt động của Enzim, thì nhiệt độ tối ưu của môi trường là giá trị nhiệt độ mà ở đó :",Enzim bắt đầu hoạt động,Enzim ngừng hoạt động,Enzim có hoạt tính cao nhất,Enzim có hoạt tính thấp nhất,C,Sinh 10,True
Loại liên kết hoá học giữa axit béo và glixêrol trong phân tử Triglixêric,Liên kết hidrô,Liên kết este,Liên kết peptit,Liên kết hoá trị,B,Sinh 10,False
Nước có đặc tính nào sau đây ?,Dung môi hoà tan của nhiều chất.,Thành phần cấu tạo bắt buộc của tế bào.,Là môi trường xảy ra các phản ứng sinh hoá của cơ thể.,Cả 3 vai trò nêu trên.,D,Sinh 10,True
Chất nhiễm sắc khi co xoắn lại sẽ hình hành cấu trúc nào sau đây ?,Phân tử ADN,Nhiễm sắc thể,Phân tử prôtêin,Ribôxôm,B,Sinh 10,True
Hợp chất nào sau đây có đơn vị cấu trúc là Glucôzơ,Mantôzơ,Lipit đơn giản,Phốtpholipit,Pentôzơ,A,Sinh 10,True
Ngành thực vật có thể giao tử chiếm ưu thế so với thể bào tử là ngành,Rêu.,Quyết.,Hạt trần.,Hạt kín.,A,Sinh 10,False
Giữa các nuclêôtit trên 2 mạch của phân tử ADN có :,G liên kết với X bằng 2 liên kết hiđrô.,A liên kết với T bằng 3 liên kết hiđrô.,Các liên kết hidrô theo nguyên tắc bổ sung.,"Cả A, B, C đều đúng.",C,Sinh 10,True
Bệnh truyền nhiễm nào sau đây lây truyền qua đường tình dục?,Bệnh giang mai.,Bệnh lậu.,Bệnh viêm gan B.,"Cả A, B, C đều đúng.",D,Sinh 10,False
Nhóm vi sinh vật nào sau đây có nhu cầu độ ẩm cao trong môi trường sống so với các nhóm vi sinh vật còn lại?,Vi khuẩn,Nấm men,Xạ khuẩn,Nấm mốc,A,Sinh 10,True
Cấu tạo nào sau đây đúng với vi-rut?,"Tế bào có màng, tế bào chất, chưa có nhân.","Tế bào có màng, tế bào chất, có nhân sơ.","Tế bào có màng, tế bào chất, có nhân chuẩn.",Có vỏ capsit chứa bộ gen bên trong.,D,Sinh 10,False
Số lượng tế bào con sinh ra từ 1 tế bào mẹ sau 1 lần nguyên phân là bao nhiêu?,1 tế bào,2 tế bào,3 tế bào,4 tế bào,B,Sinh 10,False
Hoạt động nào sau đây thuộc loại miễn dịch thể dịch?,Thực bào.,Sản xuất ra bạch cầu.,Sản xuất ra kháng thể.,Tất cả các hoạt động trên.,C,Sinh 10,False
Chất gây phản ứng đặc hiệu với kháng nguyên được gọi là:,Độc tố,Kháng thể,Chất cảm ứng,Hoocmon,B,Sinh 10,False
"Kiểu dinh dưỡng dựa vào nguồn năng lượng từ chất vô cơ và nguồn cacbon $CO_2$, được gọi là:",Quang dị dưỡng,Hoá dị dưỡng,Quang tự dưỡng,Hoá tự dưỡng,D,Sinh 10,False
Phát biểu nào sau đây đúng khi nói về cơ chế của quang hợp?,"Pha sáng diễn ra trước, pha tối sau.","Pha tối xảy ra trước, pha sáng sau.",Pha sáng và pha tối diễn ra đồng thời.,"Chỉ có pha sáng, không có pha tối.",A,Sinh 10,True
Thứ tự nào sau đây được sắp xếp đúng với trình tự phân chia nhân trong nguyên phân?,"Kỳ đầu, kỳ sau, kỳ cuối, kỳ giữa.","Kỳ sau, kỳ giữa, Kỳ đầu, kỳ cuối.","Kỳ đầu, kỳ giữa, kỳ sau, kỳ cuối.","Kỳ giữa, kỳ sau, kỳ đầu, kỳ cuối.",C,Sinh 10,False
Quá trình phân chia nhân trong một chu kì nguyên phân bao gồm:,Một kỳ,Ba kỳ,Hai kỳ,Bốn kỳ,D,Sinh 10,True
Quá trình phát triển của bệnh AIDS có mấy giai đoạn ?,5,4,3,2,C,Sinh 10,True
Sản phẩm của sự phân giải chất hữu cơ trong hoạt động hô hấp là:,"Ôxi, nước và năng lượng","Nước, đường và năng lượng","Nước, khí cacbônic và đường","Khí cacbônic, nước và năng lượng",D,Sinh 10,False
Bệnh nào sau đây không phải do Vi-rut gây ra ?,Bại liệt,Viêm gan B,Lang ben,Quai bị,C,Sinh 10,True
Năng lượng giải phóng khi tế bào tiến hành đường phân 1 phân tử glucôzơ là:,Hai phân tử ADP,Một phân tử ADP,Hai phân tử ATP,Một phân tử ATP,C,Sinh 10,True
Vi khuẩn sinh sản chủ yếu bằng cách:,Phân đôi,Tiếp hợp,Nẩy chồi,Hữu tính,A,Sinh 10,True
Hình thức sinh sản có thể tìm thấy ở nấm men là:,Tiếp hợp và bằng bào tử vô tính.,Phân đôi và nẩy chồi.,Tiếp hợp và bằng bào tử hữu tính.,Bằng tiếp hợp và phân đôi.,B,Sinh 10,True
Điều sau đây đúng khi nói về vi-rut là :,Là dạng sống đơn giản nhất.,Dạng sống không có cấu tạo tế bào.,Chỉ cấu tạo từ hai thành phần cơ bản prôtêin và axit nuclêic.,"Cả A, B, C đều đúng.",D,Sinh 10,True
Năng lượng chủ yếu được tạo ra từ quá trình hô hấp là:,ATP,NADH,ADP,FADH2,A,Sinh 10,True
Pha tối quang hợp xảy ra ở:,Trong chất nền của lục lạp.,Trong các hạt grana.,Ở màng của các túi tilacôit.,Ở trên các lớp màng của lục lạp.,A,Sinh 10,True
Câu có nội dung đúng trong các câu sau đây là:,Cabonhidrat được tạo ra trong pha sáng của quang hợp.,Khí oxi được giải phóng từ pha tối của quang hợp.,ATP và NADPH không được tạo ra từ pha sáng.,"Cả A, B, C đều có nội dung sai.",D,Sinh 10,False
Hai loại hướng động chính ở thực vật là?,hướng sáng dương và hướng sáng âm,ngược chiều trọng lực và cùng chiều trọng lực.,hướng tới nguồn nước và tránh xa nguồn nước.,hướng tới nguồn kích thích và tránh xa nguồn kích thích.,D,Sinh 10,True
Thứ tự các bộ phận trong ống tiêu hóa của châu chấu là?,miệng → thực quản → diều → dạ dày → ruột → hậu môn.,miệng → thực quản → diều → ruột → dạ dày → hậu môn.,miệng → thực quản → dạ dày → diều → ruột → hậu môn.,miệng → diều → thực quản → dạ dày → ruột → hậu môn.,A,Sinh 10,False
Các chất dinh dưỡng sau khi được biến đổi sẽ được hấp thụ vào máu theo cơ chế?,thụ động và chủ động.,thực bào và ẩm bào.,thụ động.,chủ động.,A,Sinh 10,True
Hệ thần kinh của côn trùng có?,"hạch đầu, hạch ngực, hạch lưng.","hạch đầu, hạch thân, hạch lưng.","hạch đầu, hạch bụng, hạch lưng.","hạch đầu, hạch ngực, hạch bụng.",D,Sinh 10,False
"Sắc tố nào tham gia trực tiếp chuyển hóa năng lượng mặt trời thành ATP, NADPH trong quang hợp?",Diệp lục a,Diệp lục b,"Diệp lục a, b.","Diệp lục a, b và carôtenôit.",A,Sinh 11,True
Tụy tiết ra những hoocmôn tham gia vào cơ chế cân bằng nội môi nào?,Điều hoà hấp thụ nước ở thận.,Điều hòa nồng độ glucôzơ trong máu.,Điều hoá hấp thụ Na+ ở thận.,Điều hoà pH máu.,B,Sinh 11,False
"Nguyên tố khoáng nào sau đây đóng vai trò trong việc giúp cân bằng ion, quang phân li nước ở cơ thể thực vật?",Kali.,Clo.,Sắt.,Molipden.,B,Sinh 11,True
Quá trình tiêu hoá ở động vật có ống tiêu hoá diễn ra như thế nào?,Thức ăn đi qua ống tiêu hoá được biến đổi cơ học trở thành chất đơn giản và được hấp thụ vào máu.,Thức ăn đi qua ống tiêu hoá được biến đổi cơ học và hoá học trở thành chất đơn giản và được hấp thụ vào máu.,Thức ăn đi qua ống tiêu hoá được biến đổi hoá học trở thành chất đơn giản và được hấp thụ vào máu.,Thức ăn đi qua ống tiêu hoá được biến đổi cơ học trở thành chất đơn giản và được hấp thụ vào mọi tế bào.,B,Sinh 11,False
Có bao nhiêu phân tử ATP được hình thành từ 1 phân tử glucô bị phân giải trong quá trình lên men?,6 phân tử,4 phân tử,2 phân tử,36 phân tử,C,Sinh 11,False
