,Câu hỏi,A,B,C,D,Answer,Grade
834,Khi chiều dài dây treo tăng 20% thì chu kỳ dao động điều hòa của con lắc đơn,"tăng 9,54%","giảm 9,54%","tăng 15,25%","giảm 15,25%",A,Vật lý 12
835,"Một con lắc đơn, trong khoảng thời gian Δt nó thực hiện 12 dao động. Khi giảm độ dài của nó bớt 16 cm, trong cùng khoảng thời gian Δt như trên, con lắc thực hiện 20 dao động. Chiều dài ban đầu của con lắc là",10 cm.,20 cm.,25 cm.,35 cm.,C,Vật lý 12
836,"Một con lắc đơn dao động điều hòa với biên độ góc 0,1 rad ở một nơi có gia tốc trọng trường g = 10 m/s². Vào thời điểm ban đầu vật đi qua vị trí có li độ dài 8 cm và có vận tốc 20√3 cm/s. Tốc độ cực đại của vật dao động là","0,1 m/s.","0,4 m/s.","0,8 m/s.",1 m/s.,B,Vật lý 12
837,"Một con lắc đơn dao động nhỏ xung quanh vị trí cân bằng, chọn trục Ox nằm ngang gốc O trùng với vị trí cân bằng chiều dương hướng từ trái sang phải. Ở thời điểm ban đầu vật ở bên trái vị trí cân bằng và dây treo hợp với phương thẳng đứng một góc 0,01 rad, vật được truyền tốc độ π cm/s với chiều từ phải sang trái. Biết năng lượng dao động của con lắc là 0,1 (mJ), khối lượng của vật là 100 g, lấy gia tốc trọng trường 10 m/s² và π² = 10. Phương trình dao động của vật là",2,2,πt + π/4 cm,2,A,Vật lý 12
838,"Tiến hành thí nghiệm đo gia tốc trọng trường bằng con lắc đơn, một học sinh đo được chiều dài con lắc là 119±1 cm, chu kì dao động nhỏ của nó là 2,20±0,01 s, Lấy π2 = 9,87 và bỏ qua sai số của số π. Gia tốc trọng trường do học sinh đo được tại nơi làm thí nghiệm là","g = 10 ± 0,01 (m/s2).","g = 9,9 ± 0,3 (m/s2).","g = 9,8 ± 0,02 (m/s2).","g = 9,7 ± 0,2 (m/s2).",D,Vật lý 12
839,"Con lắc đơn chiều dài 1 m dao động nhỏ với chu kỳ 1,5 s và biên độ góc là 0,05 rad. Độ lớn vận tốc khi vật có li độ góc 0,04 rad là",4π cm/s,2π cm/s,4√2π cm/s,π cm/s,A,Vật lý 12
840,Phát biểu nào sau đây là sai khi nói về dao động của con lắc đơn (bỏ qua lực cản)?,Nếu biên độ dao động nhỏ thì dao động của con lắc đơn là dao động điều hòa.,Khi vật nặng đi qua vị trí cân bằng thì trọng lực tác dụng lên nó cân bằng với lực căng của sợi dây.,Chuyển động của con lắc từ vị trí biên về vị trí cân bằng là nhanh dần.,Chuyển động của con lắc từ vị trí cân bằng ra vị trí biên là chậm dần.,B,Vật lý 12
841,"Một con lắc đơn đang dao động điều hòa với biên độ góc α0 tại nơi có gia tốc trọng trường là g. Biết lực căng dây lớn nhất bằng 1,02 lần lực căng dây nhỏ nhất. Giá trị của α0 là","3,1","5,4","6,6","7,2",C,Vật lý 12
842,"Con lắc đơn dao động không ma sát, sợi dây dài 30 cm, vật dao động nặng 100 g. Cho gia tốc trọng trường bằng 10 m/s². Khi vật dao động qua vị trí cân bằng thì lực tổng hợp tác dụng lên vật có độ lớn 1 N. Tính tốc độ của vật dao động khi lực căng dây có độ lớn gấp đôi độ lớn cực tiểu của nó?",1 m/s.,"1,2 m/s.","1,7 m/s.","2,4 m/s.",A,Vật lý 12
843,"Một con lắc lò xo gồm vật có khối lượng m và lò xo có độ cứng k không đổi, dao động điều hoà. Nếu khối lượng 200 g thì chu kì dao động của con lắc là 2 s. Để chu kì con lắc là 1 s thì khối lượng m bằng",10 g.,20 g.,35 g.,50 g.,D,Vật lý 12
844,"Một vật nhỏ m lần lượt liên kết với các lò xo có độ cứng k<sub>1</sub>, k<sub>2</sub> và k thì chu kỳ dao động lần lượt bằng T<sub>1</sub> = 1,6s, T<sub>2</sub> = 1,8 s và T. Nếu <math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>k</mi><mn>2</mn></msup><mo>=</mo><mn>2</mn><msubsup><mi>k</mi><mn>1</mn><mn>2</mn></msubsup><mo>+</mo><mn>5</mn><msubsup><mi>k</mi><mn>2</mn><mn>2</mn></msubsup></math> thì T bằng","1,4 s.","2,0 s.","2,5 s.","1,1 s.",D,Vật lý 12
845,"Một con lắc lò xo gồm lò xo có độ cứng 20 N/m và viên bi có khối lượng dao động điều hòa. Tại thời điểm t, vận tốc, gia tốc của viên bi lần lượt là 20 cm/s và 2√3 m/s . Biên độ dao động của viên bi là",2 cm.,4 cm.,5 cm.,7 cm.,B,Vật lý 12
846,Một lò xo dãn ra khi treo vào nó một vật có khối lượng 250 g. Chu kì của con lắc được tạo thành như vậy là bao nhiêu?,"1,1 s.","0,95 s.","0,53 s.","0,31 s.",D,Vật lý 12
847,"Một con lắc lò xo có cơ năng W = 0,9 J và biên độ dao động A = 15cm. Hỏi động năng của con lắc tại vị trí có li độ x = -5 cm là bao nhiêu?","0,5 J.","0,8 J.","0,95 J.",1 J.,B,Vật lý 12
848,"Một con lắc lò xo có độ cứng k = 200N/m, khối lượng m = 200 g dao động điều hòa với biên độ A = 10 (cm). Tốc độ của con lắc khi qua vị trí có li độ x = 2,5 cm là bao nhiêu?","1,55 m/s.","0,97 m/s.","2,52 m/s.","3,06 m/s.",D,Vật lý 12
849,"Khi nói về dao động cưỡng bức, phát biểu nào sau đây không đúng?",Tần số của dao động cưỡng bức là tần số riêng của hệ dao động.,Biên độ của dao động cưỡng bức chỉ phụ thuộc vào biên độ của lực cưỡng bức.,Biên độ của dao động cưỡng bức không phụ thuộc vào lực cản môi trường.,"Cả A, B, C đều không đúng.",D,Vật lý 12
851,Nhận xét nào sau đây là đúng khi nói về dao động cưỡng bức?,Dao động cưỡng bức có biên độ không đổi.,Tần số của dao động cưỡng bức bằng tần số của lực cưỡng bức.,Dao động chịu tác dụng của một ngoại lực cưỡng bức tuần hoàn gọi là dao động cưỡng bức.,"Cả A, B và C đều đúng.",D,Vật lý 12
852,Nhận xét nào sau đây là đúng khi nói về dao động duy trì?,Dao động của con lắc đồng hồ là dao động duy trì.,Dao động được duy trì bằng cách giữ cho biên độ không đổi mà không làm thay đổi chu kì dao động riêng gọi là dao động duy trì.,"Trong trò chơi dân gian “đánh đu”, khi người đánh đu làm cho đu dao động với biên độ ổn định thì dao động của hệ lúc đó là dao động duy trì.","Cả A, B và C đều đúng.",D,Vật lý 12
853,Một vật dao động tắt dần có các đại lượng nào sau đây giảm liên tục theo thời gian?,Li độ và gia tốc.,Li độ và cơ năng.,Biên độ và cơ năng.,Vận tốc và gia tốc.,C,Vật lý 12
854,"Một vật dao động cưỡng bức dưới tác dụng của ngoại lực F = F<sub>0</sub>cospft (với F<sub>0</sub> và f không đổi, t tính bằng s). Tần số dao động cưỡng bức của vật là","0,2f","0,5f",f,"1,2f",B,Vật lý 12
855,"Thực hiện thí nghiệm về dao động cưỡng bức như hình bên. Năm con lắc đơn: (1), (2), (3), (4) và M (con lắc điều khiển) được treo trên một sợi dây. Ban đầu hệ đang đứng yên ở vị trí cân bằng. Kích thích M dao động nhỏ trong mặt phẳng vuông góc với mặt phẳng hình vẽ thì các con lắc còn lại dao động theo. Không kể M, con lắc dao động mạnh nhất là",con lắc (1),con lắc (2),con lắc (3),con lắc (4),A,Vật lý 12
856,Biên độ dao động cưỡng bức không phụ thuộc vào,tần số ngoại lực tuần hoàn tác dụng lên vật,lực cản của môi trường tác dụng lên vật,biên độ ngoại lực tuần hoàn tác dụng lên vật,pha ban đầu của ngoại lực tuần hoàn tác dụng lên vật,D,Vật lý 12
857,Một con lắc lò xo gồm lò xo có độ cứng 100 N/m và vật nhỏ có khối lượng m. Tác dụng lên vật ngoại lực F = 20cos10πt (N) (t tính bằng s) dọc theo trục lò xo thì xảy ra hiện tượng cộng hưởng. Lấy π<sup>2</sup> = 10. Giá trị của m là,"0,1 kg.","0,3 kg.","0,7 kg.",1 kg.,A,Vật lý 12
858,Một vật thực hiện được đồng thời hai dao động điều hòa với biên độ lần lượt là 3 cm và 5 cm. Trong các giá trị sau giá trị nào không thể là biên độ của dao động tổng hợp của hai dao động trên?,3 cm.,5 cm.,7 cm.,9 cm.,D,Vật lý 12
859,Cho hai dao động điều hòa cùng phương có phương trình dao động lần lượt là x₁ = 3√3sin(5πt + π/2) (cm) và x₂ = 3√3sin(5πt - π/2) (cm). Biên độ dao động tổng hợp của hai dao động trên là,0 cm,3 cm,6 cm,12 cm,A,Vật lý 12
860,Chuyển động của một vật là tổng hợp của hai dao động điều hòa cùng phương. Hai dao động này có phương trình lần lượt là x₁ = 4cos(10t + π/4)cm và x₂ = 3cos(10t - 3π/4)cm. Độ lớn vận tốc của vật ở vị trí cân bằng là,5 cm/s.,10 cm/s.,12 cm/s.,15 cm/s,B,Vật lý 12
861,"Con lắc lò xo gồm vật nhỏ nặng 1 kg thực hiện đồng thời hai dao động điều hoà theo phương thẳng đứng, theo các phương trình: x₁ = 5√2cos10t (cm) và x₂ = 5√2sin10t (cm). Gốc tọa độ trùng với vị trí cân bằng, t đo bằng giây và lấy gia tốc trọng trường g = 10 m/s². Lực đàn hồi cực đại mà lò xo tác dụng lên vật là",5 N.,15 N.,20 N.,35 N.,C,Vật lý 12
862,Hai dao động điều hòa cùng phương cùng tần số có phương trình x₁ = 6cos(10t + π/6) cm và x₂ = 6cos(10t + 5π/6) cm. Tại thời điểm li độ dao động tổng hợp là 3 cm và đang tăng thì li độ của dao động thứ hai là bao nhiêu?,3 cm,6 cm,9 cm,11 cm,B,Vật lý 12
863,"Một vật thực hiện đồng thời 3 dao động điều hòa cùng pha cùng tần số có phương trình lần lượt là x₁ = A₁cos(2πt + 2π/3), x₂ = A₂cos(2πt), x₃ = A₃cos(2πt - 2π/3). Tại thời điểm t₁ các giá trị li độ x₁(t₁) = -10 cm, x₂(t₁) = 40 cm, x₃(t₁) = -20 cm. Thời điểm t₂ = t₁ + T/4 các giá trị li độ x₁(t₂) = -10 cm, x₂(t₂) = 0 cm, x₃(t₂) = 20√3 cm. Tìm phương trình của dao động tổng hợp?",20cos(2πt - π/3) cm,20√5cos(2πt - π/3) cm,10cos(2πt + π/3) cm,10√2cos(2πt + π/3) cm,A,Vật lý 12
864,"Hai chất điểm dao động điều hòa, cùng phương cùng tần số với li độ lần lượt là x₁ và x₂. Li độ của hai chất điểm thỏa mãn điều kiện: 1,5x₁² + 2x₂² = 18cm². Tính biên độ dao động tổng hợp của hai dao động trên.",√21cm,√11cm,√7cm,√17cm,A,Vật lý 12
865,Chuyển động của một vật là tổng hợp của hai dao động điều hòa cùng phương. Hai dao động này có phương trình lần lượt là x₁ = 3cos10t cm và x₂ = 4sin(10t + π/2) cm. Gia tốc của vật có độ lớn cực đại bằng,3 m/s²,"4,2 m/s²",7 m/s²,"11,2 m/s²",C,Vật lý 12
866,"Dao động của một chất điểm có khối lượng 100g là tổng hợp của hai dao động điều hòa cùng phương, có phương trình li độ lần lượt là x₁ = 5cos(10t) và x₂ = 10cos(10t) (x₁ và x₂ tính bằng cm, t tính bằng s). Mốc thế năng ở vị trí cân bằng. Cơ năng của chất điểm bằng","0,25 J.","0,125 J.","0,1125 J.","0,225 J.",C,Vật lý 12
867,"Cho hai dao động điều hòa cùng phương với các phương trình lần lượt là x₁ = A₁cos(ωt + 0,35) và x₂ = A₂cos(ωt - 1,57). Dao động tổng hợp của hai dao động này có phương trình x = 20cos(ωt + φ) cm. Giá trị cực đại của (A₁ + A₂) gần giá trị nào sau đây nhất?",35 cm,42 cm,55 cm,60 cm,A,Vật lý 12
868,Một chất điểm tham gia đồng thời hai dao động điều hòa trên trục Ox có phương trình x₁ = A₁cos(10t) và x₂ = A₂cos(10t + φ₂). Phương trình dao động tổng hợp x = A₁√3cos(10t + φ) trong đó φ₂ - φ = π/6. Tỉ số φ/φ₂ bằng,2,"0,5",1,"1,5",B,Vật lý 12
869,"Một vật có khối lượng 0,5 kg thực hiện đồng thời hai dao động điều hòa cùng phương, cùng tần số góc 4π rad/s, x₁ = A₁cos(ωt + π/6) cm và x₂ = 4sin(ωt - π/3) cm. Biết hợp lực tác dụng lên vật có độ lớn cực đại là 2,4 N. Biên độ A₁ có giá trị","1,5 cm","3,4 cm",5 cm,7 cm,D,Vật lý 12
870,Sóng dọc là,sóng truyền dọc theo một sợi dây.,sóng trong đó phương dao động (của các phần tử của môi trường) trùng với phương truyền.,sóng truyền theo trục tung của trục tọa độ.,sóng trong đó các phần tử của môi trường dao động theo phương vuông góc với phương truyền sóng.,B,Vật lý 12
871,Sóng ngang là,sóng trong đó các phần tử của môi trường dao động theo phương trùng với phương truyền sóng.,sóng truyền theo trục hoành của trục tọa độ.,sóng trong đó các phần tử của môi trường dao động theo phương vuông góc với phương truyền sóng.,sóng lan truyền theo phương nằm ngang.,C,Vật lý 12
872,Nhận xét nào sau đây không đúng khi nói về sóng cơ học?,Sóng cơ là dao động cơ lan truyền trong một môi trường.,Sóng cơ truyền được trong chân không.,Biên độ sóng tại một điểm nhất định trong môi trường có sóng truyền qua là biên độ dao động của các phần tử vật chất tại đó.,Năng lượng sóng là năng lượng dao động của các phần tử của môi trường có sóng truyền qua.,B,Vật lý 12
873,Sóng ngang truyền được trong các môi trường,rắn và khí.,lỏng và khí.,rắn và bề mặt chất lỏng.,"rắn, chân không.",C,Vật lý 12
874,Sóng dọc truyền được trong các môi trường,rắn và lỏng.,lỏng và khí.,"rắn, lỏng và khí.","rắn, lỏng, khí và chân không.",C,Vật lý 12
875,Khoảng cách giữa hai điểm trên phương truyền sóng gần nhau nhất và dao động cùng pha với nhau gọi là,bước sóng.,tần số.,chu kì.,độ lệch pha.,A,Vật lý 12
876,Nhận xét nào sau đây là đúng nhất?,Tốc độ truyền sóng v là tốc độ lan truyền dao động trong môi trường.,Bước sóng λ là quãng đường mà sóng truyền được trong một chu kì.,"Đối với mỗi môi trường, tốc độ truyền sóng v có một giá trị không đổi.","Cả A, B và C đều đúng.",D,Vật lý 12
877,Tốc độ truyền sóng cơ phụ thuộc vào,Năng lượng sóng.,Tần số dao động.,Môi trường truyền sóng.,Bước sóng λ.,C,Vật lý 12
878,Một nguồn dao động đặt tại điểm A trên mặt chất lỏng nằm ngang phát ra dao động điều hòa theo phương thẳng đứng với phương trình uA = acosωt. Sóng do nguồn dao động này tạo ra truyền trên mặt chất lỏng có bước sóng λ tới điểm M cách A một khoảng x. Coi biên độ sóng và vận tốc sóng không đổi khi truyền đi thì phương trình dao động tại điểm M là,uM = acos(ωt - 2πx/λ),uM = acosωt,uM = acos(ωt + 2πx/λ),uM = acos(ωt - πx/λ),A,Vật lý 12
879,"Một sóng cơ lan truyền trên một đường thẳng từ điểm O đến điểm M cách O một đoạn d. Biết tần số f, bước sóng X và biên độ a của sóng không đổi trong quá trình sóng truyền. Nếu phương trình dao động của phần tử vật chất tại điểm M có dạng uM(t) = a sin(ωt) thì phương trình dao động của phần tử vật chất tại O là",a cos(πft + d/λ),a cos(ωt + d/v),a cos(πft - d/(2λ)),a cos(ωt - d/(2v)),A,Vật lý 12
880,Tốc độ truyền sóng trong một môi trường đồng tính và đẳng hướng phụ thuộc vào,bản chất môi trường.,nhiệt độ môi trường.,biên độ sóng.,bản chất và nhiệt độ của môi trường.,D,Vật lý 12
881,"Hình vẽ bên biểu diễn một sóng ngang có chiều truyền sóng từ O đến x. P, Q là hai phân tử nằm trên cùng một phương truyền sóng khi có sóng truyền qua. Chuyển động của P và Q có đặc điểm nào sau đây?",Cả hai đồng thời chuyển động sang phải.,Cả hai chuyển động sang trái.,P đi xuống còn Q đi lên.,P đi lên còn Q đi xuống.,C,Vật lý 12
882,"Trên một sợi dây dài đang có sóng ngang hình sin truyền qua theo chiều dương của trục Ox. Tại thời điểm t₀, một đoạn của sợi dây có hình dạng như hình bên. Hai phần tử dây tại M và O dao động lệch pha nhau",3π/4,π/2,π/5,5π/6,A,Vật lý 12
883,"Trong môi trường đàn hồi có một sóng cơ có tần số 10 Hz, tốc độ truyền sóng là 40 cm/s. Hai điểm M và N trên phương truyền sóng dao động cùng pha nhau, giữa chúng chỉ có 2 điểm khác dao động ngược pha với M. Khoảng cách MN là",6 cm.,8 cm.,11 cm.,23 cm.,B,Vật lý 12
884,"Trong môi trường đàn hồi có một sóng cơ có tần số 10 Hz, tốc độ truyền sóng là 40 cm/s. Hai điểm M và N trên phương truyền sóng dao động cùng pha nhau, giữa chúng chỉ có 2 điểm E và F. Biết rằng, khi E hoặc F có tốc độ dao động cực đại thì tại M tốc độ dao động cực tiểu. Khoảng cách MN là",2 cm.,3 cm.,4 cm.,5 cm.,C,Vật lý 12
885,"Hai điểm A, B cùng phương truyền sóng, cách nhau 24 cm. Trên đoạn AB có 3 điểm A₁, A₂, A₃ dao động cùng pha với A, và ba điểm B₁, B₂, B₃ dao động cùng pha với B. Sóng truyền theo thứ tự A, B₁, A₁, B₂, A₂, B₃, A₃, B và A₃B = 3 cm. Bước sóng là",7 cm.,8 cm.,9 cm.,10 cm.,A,Vật lý 12
886,"Hai nguồn sóng kết hợp là hai nguồn sóng dao động cùng phương, cùng",biên độ,tần số,pha ban đầu,tần số và có hiệu số pha không đổi theo thời gian,D,Vật lý 12
887,Trong giao thoa của hai nguồn kết hợp có bước sóng λ. Trên đoạn có chiều dài l thuộc đường thẳng nối hai nguồn có N cực đại liên tiếp. Ta luôn có,2N+1λ,1/2Nλ,N-1λ/2,N-1λ,C,Vật lý 12
888,"Hai điểm M, N cùng nằm trên một phương truyền sóng cách nhau một khoảng λ/3. Tại thời điểm t, khi li độ dao động tại M là uM = +3cm thì li độ dao động tại N là uN = -3cm. Biên độ sóng có giá trị là",2 cm,3 cm,2√3 cm,3√2 cm,C,Vật lý 12
889,"Xem hai loa là nguồn phát sóng âm A, B phát âm cùng phương cùng tần số và cùng pha. Tốc độ truyền sóng âm trong không khí là 330 (m/s). Một người đứng ở vị trí M cách B là 3 (m), cách A là 3,375 (m). Tìm tần số âm bé nhất, để ở M người đó nghe được âm từ hai loa là to nhất.",880 Hz.,440 Hz.,220 Hz.,110 Hz.,A,Vật lý 12
890,"Trong một thí nghiệm về giao thoa sóng trên mặt nước, hai nguồn kết hợp A, B dao động cùng pha, cùng tần số f = 32 Hz. Tại một điểm M trên mặt nước cách các nguồn A, B những khoảng d1 = 28 cm, d2 = 23,5 cm; sóng có biên độ cực đại. Giữa M và đường trung trực AB có 1 dãy cực đại khác. Tốc độ truyền sóng trên mặt nước là",32 cm/s.,64 cm/s.,72 cm/s.,91 cm/s.,C,Vật lý 12
891,"Trong một thí nghiệm tạo vân giao thoa trên mặt nước, người ta dùng hai nguồn dao động đồng pha có tần số 50 Hz và đo được khoảng cách giữa hai vân cực tiểu liên tiếp nằm trên đường nối liền hai tâm dao động là 2 mm. Bước sóng và tốc độ truyền sóng có giá trị là",4 mm; 200 mm/s.,2 mm; 200 mm/s.,4 mm; 100 mm/s.,2 mm; 100 mm/s.,A,Vật lý 12
892,Trong thí nghiệm giao thoa sóng trên mặt nước ta quan sát được một hệ vân giao thoa. Khi dịch chuyển một trong hai nguồn một đoạn ngắn nhất 5 cm thì vị trí điểm O trên đoạn thẳng nối 2 nguồn đang có biên độ cực đại chuyển thành biên độ cực tiểu. Bước sóng là,8 cm.,9 cm.,10 cm.,11 cm.,C,Vật lý 12
893,"Trên mặt nước hai nguồn sóng A, B cách nhau 3 cm dao động với phương trình u1=u2=a cos 100πt. Một hệ vân giao thoa xuất hiện gồm một vân cực đại là trung trực của đoạn AB và 14 vân cực đại dạng hypecbol mỗi bên. Biết khoảng cách từ các nguồn đến cực đại gần nhất đo dọc theo đoạn thẳng AB đều là 0,1 cm. Tốc độ truyền pha dao động trên mặt nước là",5 cm/s.,10 cm/s.,15 cm/s.,20 cm/s.,B,Vật lý 12
894,"Hai nguồn phát sóng S1, S2 trên mặt chất lỏng dao động theo phương vuông góc với bề mặt chất lỏng với cùng tần số 50 Hz và cùng pha ban đầu, coi biên độ sóng không đổi. Trên đoạn thẳng S1S2, ta thấy hai điểm cách nhau 9 cm dao động với biên độ cực đại. Biết tốc độ truyền sóng trên mặt chất lỏng có giá trị 1,5 m/s < v < 2,25 m/s. Tốc độ truyền sóng là","1,5 m/s.","1,6 m/s.","1,7 m/s.","1,8 m/s.",D,Vật lý 12
895,"Hai nguồn phát sóng trên mặt nước có cùng bước sóng λ, cùng pha, cùng biên độ, đặt cách nhau 2,5λ. Số vân giao thoa cực đại và cực tiểu trên AB lần lượt là",2 và 3,4 và 3,5 và 4,6 và 5,C,Vật lý 12
896,Phát biểu nào sau đây không đúng khi nói về sóng dừng?,Các điểm nằm trên một bụng thì dao động cùng pha.,Trong sóng dừng có sự truyền pha từ điểm này sang điểm khác.,Điểm bụng là điểm mà sóng tới và sóng phản xạ cùng pha.,Điểm nút là điểm mà sóng tới và sóng phản xạ ngược pha.,B,Vật lý 12
897,Phát biểu nào sau đây là đúng?,Khi có sóng dừng trên dây đàn hồi thì tất cả các điểm trên dây đều dừng lại không dao động.,Khi sóng dừng trên dây đàn hồi thì nguồn phát sóng ngừng dao động còn các điểm trên dây vẫn dao động.,"Khi có sóng dừng trên dây đàn hồi thì trên dây chỉ còn sóng phản xạ, còn sóng tới bị triệt tiêu.",Khi có sóng dừng trên dây đàn hồi thì trên dây có các điểm dao động mạnh xen kẽ với các điểm đứng yên.,D,Vật lý 12
898,Tại điểm phản xạ thì sóng phản xạ,cùng pha với sóng tới nếu vật cản là cố định.,ngược pha với sóng tới nếu vật cản là cố định.,luôn cùng pha với sóng tới.,luôn ngược pha với sóng tới.,B,Vật lý 12
899,"Trong hệ sóng dừng trên một sợi dây, khoảng cách giữa hai nút hoặc hai bụng liên tiếp bằng",một phần tư bước sóng.,một phần ba bước sóng.,một nửa bước sóng.,một bước sóng.,C,Vật lý 12
900,Sóng dừng là,sóng được tạo thành giữa hai điểm cố định trong một môi trường.,sóng được tạo thành do sự giao thoa giữa sóng tới và sóng phản xạ.,"sóng được tạo thành do sự giao thoa của hai sóng kết hợp, trên đường thẳng nối giữa hai tâm phát sóng.",sóng được tạo thành do sự giao thoa giữa sóng tới và sóng phản xạ.,D,Vật lý 12
901,"Một sợi dây dài 1m, hai đầu cố định và rung với hai bó sóng thì bước sóng của dao động là","0,5 m.","1,0 m.","1,2 m.","1,5 m.",B,Vật lý 12
902,Trên một sợi dây dài 90 cm có sóng dừng. Kể cả 2 nút ở hai đầu dây thì trên dây có 10 nút sóng. Biết tần số của sóng truyền trên dây là 200 Hz. Sóng truyền trên dây có tốc độ là,25 m/s.,40 m/s.,57 m/s.,68 m/s.,B,Vật lý 12
903,"Một dây đàn dài 0,6 m hai đầu cố định dao động với một bụng độc nhất (ở giữa dây). Bước sóng có giá trị là","0,5 m.","1,0 m.","1,2 m.","1,8 m.",C,Vật lý 12
904,"Một dây đàn dài 0,6 m hai đầu cố định dao động với một bụng độc nhất (ở giữa dây). Nếu dây dao động với ba bụng thì bước sóng có giá trị là","0,2 m.","0,4 m.","0,6 m.","0,8 m.",B,Vật lý 12
905,"Trên một sợi dây dài 1,2 m có một hệ sóng dừng. Kể cả hai đầu dây thì trên dây có tất cả 4 nút. Biết tốc độ truyền sóng trên dây là v = 80 m/s. Tần số dao động của dây là",50 Hz.,100 Hz.,120 Hz.,180 Hz.,B,Vật lý 12
906,"Một sợi dây đàn hồi dài 60 cm, được rung với tần số 50 Hz, trên dây tạo thành một sóng dừng ổn định với 4 bụng sóng, hai đầu là hai nút sóng. Vận tốc sóng trên dây là",20 m/s.,"35,7 m/s.",40 m/s.,"11,3 m/s.",A,Vật lý 12
907,"Trên một sợi dây dài 2 m đang có sóng dừng với tần số 100 Hz, người ta thấy ngoài 2 đầu dây cố định còn có 3 điểm khác luôn đứng yên. Tốc độ truyền sóng trên dây là",50 m/s.,78 m/s.,100 m/s.,111 m/s.,C,Vật lý 12
908,Một sợi dây căng giữa hai điểm cố định cách nhau 80 cm. Hai sóng có tần số gần nhau liên tiếp cùng tạo ra sóng dừng trên dây là f₁ = 70 Hz và f₂ = 84 Hz. Tìm tốc độ truyền sóng trên dây. Biết tốc độ truyền sóng trên dây không đổi.,"11,2 m/s.","22,4 m/s.","34,2 m/s.","45,5 m/s.",B,Vật lý 12
909,"Một thanh thép mảnh dài 1,2 m được đặt nằm ngang phía dưới một nam châm điện. Cho dòng điện xoay chiều chạy qua nam châm điện thì trên dây thép xuất hiện sóng dừng với 6 bụng sóng với đầu cố định là nút và đầu tự do là bụng. Nếu tốc độ truyền sóng trên thanh là 60 m/s thì tần số của dòng điện xoay chiều là",60 Hz.,"63,1 Hz.","68,75 Hz.","70,3 Hz.",C,Vật lý 12
910,Sóng dừng trên một sợi dây đàn hồi hai đầu cố định. Hai điểm A và B trên dây cách nhau 1m là hai nút. Biết tần số sóng khoảng từ 300 Hz đến 450 Hz. Tốc độ truyền dao động là 320 m/s. Tần số của sóng trên dây là,320 Hz.,400 Hz.,160 Hz.,100 Hz.,A,Vật lý 12
911,"Trên sợi dây đàn hồi AB đang có sóng dừng với hai đầu dây cố định, tần số thay đổi được, chiều dài dây không đổi, coi tốc độ truyền sóng luôn không đổi. Khi tần số bằng f thì trên dây có ba bụng sóng. Tăng tần số thêm 20 Hz thì trên dây có năm bụng sóng. Để trên dây có bảy bụng sóng thì cần tiếp tục tăng tần số thêm",5 Hz.,10 Hz.,15 Hz.,20 Hz.,D,Vật lý 12
912,Trong các hệ sau đây hệ nào không phải hệ bất phương trình bậc nhất một ẩn,x+2y>3,x³+2y≤3,-2x+2y>0,"x≥0, 5x+y<0, y+2≥0",B,Toán 10
913,Bất phương trình nào đây là bất phương trình bậc nhất hai ẩn,3x - 2y = 4,x – 2y<sup>2</sup> &lt; 3,x – y + 1 ≥ 2x - 1,2x + y<sup>4</sup> – 3 &lt; 0,C,Toán 10
914,Điểm O(0; 0) thuộc miền nghiệm của hệ bất phương trình nào sau đây?,5x - 7y - 1 > 0,5x + 7y - 3 > 0,x + 3y - 6 < 0,x + 3y - 2 < 0,C,Toán 10
915,Cho hệ bất phương trình 2x+3y−1>0 và 5x−y+4<0. Hỏi khẳng định nào dưới đây là khẳng định sai?,Điểm A(– 1; 4) thuộc miền nghiệm của hệ bất phương trình đã cho.,Điểm O(0; 0) thuộc miền nghiệm của hệ bất phương trình đã cho.,Điểm C(– 2; 4) thuộc miền nghiệm của hệ bất phương trình đã cho.,Điểm D(– 3; 4) thuộc miền nghiệm của hệ bất phương trình đã cho.,B,Toán 10
916,Cho hệ bất phương trình 3x−y−1≥0−x−y≤4. Hỏi khẳng định nào dưới đây là khẳng định đúng?,Điểm A(2; 1) thuộc miền nghiệm của hệ bất phương trình đã cho., Điểm O(- 1; 0) thuộc miền nghiệm của hệ bất phương trình đã cho., Điểm C(1; 3) thuộc miền nghiệm của hệ bất phương trình đã cho., Điểm D(- 3; - 4) thuộc miền nghiệm của hệ bất phương trình đã cho.,A,Toán 10
917,Bất phương trình x – 2(y – 2x - 1) > 0 tương đương với bất phương trình nào sau đây?,3x – y – 2 > 0,5x – 2y + 2 > 0,5x – 2y + 1 > 0,3x – 2y – 2 > 0,B,Toán 10
919,Cho hệ bất phương trình{x+3y−1>0} và hỏi khẳng định nào dưới đây là khẳng định sai?,Điểm A(- 1; 4) thuộc miền nghiệm của hệ bất phương trình đã cho.,Điểm O(0; 5) thuộc miền nghiệm của hệ bất phương trình đã cho.,Điểm C(2; 3) thuộc miền nghiệm của hệ bất phương trình đã cho.,Điểm D(- 3; 4) thuộc miền nghiệm của hệ bất phương trình đã cho.,C,Toán 10
920,Cặp số (2; – 3) không là nghiệm của bất phương trình nào sau đây?,-3x + 2y + 1 < 0,2x - y - 3 > 0,x - 2y + 1 ≤ 0,4x - 2y - 14 ≥ 0,C,Toán 10
